algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,384.53333333333336,24.30875471009479,0.5299334246409855,0.16904661315648034,-0.0871698309825965,0.012115370157407972,0.0004299799601236979,3.830557542069634e-05
interval,minkowski_p1,1,0.01,337.0,30.76144773359451,0.6274874976958473,0.015911640465491757,-0.09557580371624615,0.007739113649443421,0.00440058708190918,0.00020761791037818207
interval,minkowski_p1,1,0.05,346.8666666666667,31.557073515915395,0.604032595973772,0.09725780842919421,-0.096826602397884,0.006962528848166687,0.0034558455149332683,0.0003292347572496473
interval,minkowski_p1,1,0.1,352.2,45.91325153663882,0.5672750059174292,0.14122934669016868,-0.09413057882073762,0.011660763581095317,0.0029328028361002606,0.0002097544721341407
interval,minkowski_p1,1,0.15,372.8,66.35982720491869,0.6238862647372231,0.01631826373979747,-0.09032440982127886,0.024873784512723658,0.0023265838623046874,0.00015124371667230954
interval,minkowski_p1,1,0.25,386.8,60.823460386049504,0.5590355698033187,0.14899320514190564,-0.08540672718324617,0.032586573326338325,0.001697524388631185,0.00014313045175511728
kmeans,minkowski_p1,1,,260.47064440068726,47.96859901838294,0.6007316084955746,0.07849012270003433,-0.10025510893420969,0.0015717226152894234,0.0977560043334961,0.004339631423202604
farthest,minkowski_p2,2,,256.8378174306974,25.03601813592582,0.640069560743822,0.013201751909133277,-0.08772748240424356,0.008585348954684262,0.0004555861155192057,8.933484736143327e-06
interval,minkowski_p2,2,0.01,228.45943659929694,21.709118561835343,0.6357720940240909,0.008119266445503008,-0.09694057227617124,0.0036127548469138257,0.004260444641113281,0.00016739542132596943
interval,minkowski_p2,2,0.05,213.0308988678315,21.41579154651459,0.6348592832126948,0.008821522895574814,-0.09515797515095577,0.005617309886166732,0.0033254464467366534,0.00024532477768946783
interval,minkowski_p2,2,0.1,236.6908763445341,21.44673375108158,0.627437745415354,0.013193364568043226,-0.09433233459541436,0.0076627289056459946,0.0028971036275227866,0.00017402724310439297
interval,minkowski_p2,2,0.15,223.8005148328375,21.665553932995834,0.6357029131042726,0.009973920215704157,-0.09153458328860128,0.01012060339814816,0.0023490269978841145,0.00020195752564933271
interval,minkowski_p2,2,0.25,250.3276561268841,74.12375627750612,0.6354561652817982,0.010401219334908724,-0.08881033038364715,0.024264209332124743,0.0016788641611735027,0.00013164317822411274
kmeans,minkowski_p2,2,,247.612489795088,0.43996284403903185,0.6217264286039481,0.00020019438159959245,-0.09983874244154524,4.078295542345508e-05,0.06750624974568685,0.045925969606920795
farthest,mahalanobis,,,476.58452911128467,80.07987644705135,0.2956399166245794,0.15059195759792252,-0.013893689129515222,0.07224519621487328,0.00047143300374348957,2.122392614878148e-05
interval,mahalanobis,,0.01,432.72216327343443,76.64373911346283,0.44910962141088656,0.14713200010696406,-0.03765821650977081,0.05793857204652971,0.0039677302042643225,0.00013956690103936417
interval,mahalanobis,,0.05,484.19097300808136,55.70967890909151,0.3262011410935545,0.1306961198416986,-0.037917897439032046,0.059109417316953065,0.0031199932098388674,0.00013561465064468786
interval,mahalanobis,,0.1,463.8842775116356,74.83299457797906,0.33127506606963636,0.14542568251762739,-0.012077005351029983,0.04507466844789449,0.0026393731435139975,0.00011724874234331532
interval,mahalanobis,,0.15,464.1121829281337,83.76125789617376,0.39111756050351976,0.16529754963938112,-0.019655914971112846,0.05747758291666615,0.002249272664388021,0.00012818919156290265
interval,mahalanobis,,0.25,449.26673444107024,81.64803319527645,,,0.0,0.0,0.0016692002614339192,8.696041601384838e-05
kmeans,mahalanobis,,,247.4927470757903,0.4480362301726441,0.6217809146133139,0.0002038679794188905,-0.0998498421560997,4.1531328953776164e-05,0.08209586143493652,0.03239564451924927
