algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,3.90784988774997,0.24540850812424042,0.10456505288397398,0.011101734383657944,0.006645401915090136,0.017773049243690255,0.00043161710103352863,4.793100343519051e-05
interval,minkowski_p1,1,0.01,3.7456814303750563,0.2086279398231736,0.1025520287313791,0.006579798938637782,0.008344013765130977,0.023260070002315832,0.0041854540506998696,0.00018484177881966768
interval,minkowski_p1,1,0.05,3.8378143761831494,0.2314759576606817,0.10798341998061702,0.009951440291023968,0.013972191925585263,0.02078215535089424,0.0032123565673828126,0.00011745512659578013
interval,minkowski_p1,1,0.1,3.883164454087568,0.36215803900131954,0.1087588969299802,0.011630926681306821,0.0065486000756492385,0.013750222578218145,0.002695926030476888,6.0689392982527875e-05
interval,minkowski_p1,1,0.15,3.920932954609887,0.3062526542518341,0.10535823852265565,0.006161883500500667,0.005412555878685192,0.011170381499529584,0.0022612094879150392,0.0001055237219475013
interval,minkowski_p1,1,0.25,4.711481460539537,0.3763435651629288,,,0.0,0.0,0.0017095724741617838,8.687701129718273e-05
kmeans,minkowski_p1,1,,1.2461329170842643,0.028117288978893002,0.15377536017036475,0.0030809480758467087,0.0023380908191763194,0.0013342715995269545,0.05338823000590007,0.045921776655682665
farthest,minkowski_p2,2,,1.7305431038149743,0.09868074969644285,0.11788987500002084,0.015127340769298198,0.012536478178423767,0.020906660865869856,0.0004769643147786458,1.496384258894841e-05
interval,minkowski_p2,2,0.01,1.7249484575790486,0.08673949567690731,0.12230546194997632,0.007504241032604943,0.006403780374180998,0.012608561606949092,0.0044676462809244795,0.00015191976649978336
interval,minkowski_p2,2,0.05,1.7115628222887018,0.08350910001481825,0.11773228142076238,0.011895214346702933,0.003906095813880728,0.01977329638013904,0.0034276485443115235,0.00011185644390292438
interval,minkowski_p2,2,0.1,1.784716981252425,0.10244059180410177,0.12109850909951526,0.008791196467171072,-0.0004330352722662192,0.006044475947611085,0.0029698848724365235,0.0001240999218067526
interval,minkowski_p2,2,0.15,1.787865277182601,0.08611004341669301,0.12840012402475584,0.0046350232370854115,0.0017782600274441457,0.007252715602817193,0.0024770895640055337,0.00013905143493461226
interval,minkowski_p2,2,0.25,2.066194256563055,0.16621743790596985,,,0.0,0.0,0.0018807252248128254,7.2628715531142e-05
kmeans,minkowski_p2,2,,1.2536492718998364,0.019377207273305594,0.15225099393920927,0.0036335873978095455,0.0008037615664666478,0.0018846324212963134,0.0740163803100586,0.03507127352276219
farthest,mahalanobis,,,1.7734523471828871,0.13178360571307862,0.11025918207771494,0.011139271559938876,0.006151617534029758,0.01624561867637274,0.00046896934509277344,2.383263727543016e-05
interval,mahalanobis,,0.01,1.7208867518386908,0.11968196297630812,0.1113306803999326,0.018760522801082872,0.002213410806807592,0.012001218119338727,0.004400475819905599,0.00012225418679912996
interval,mahalanobis,,0.05,1.749224123196958,0.14852343231162568,0.11602066161252697,0.01607099287983395,0.005724810489336122,0.007597135465500305,0.0034667015075683593,0.00012119529703002388
interval,mahalanobis,,0.1,1.810547501990301,0.13572207894358673,0.12282499348490244,0.009092519227454418,0.002294909050389462,0.012316089922267208,0.003041839599609375,0.00019911296167558274
interval,mahalanobis,,0.15,1.8004340466649882,0.13597626244541605,0.11131594416769373,0.020072815693094152,-0.0012583784834381156,0.006858934889149463,0.0024765650431315105,0.00011459075425935286
interval,mahalanobis,,0.25,2.0370512198972253,0.16122006255577423,,,0.0,0.0,0.0019103209177652994,0.00015042500281781522
kmeans,mahalanobis,,,1.256536701060036,0.020237748793500706,0.1542618279039685,0.003182007287060164,0.0015753477203496826,0.0015041878475593282,0.08244174321492513,0.033081622937332404
