algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,373.9327648168,25.946509361263853,0.7299881509487491,0.007053138654298138,-0.037146991774599424,0.007438706132346133,0.00044916470845540366,1.4504909472708295e-05
interval,minkowski_p1,1,0.01,321.9589201708667,22.29517181886413,0.6892144806320809,0.033754257596634245,-0.05222560707747763,0.011275340435392618,0.004069073994954427,0.00015968258760342977
interval,minkowski_p1,1,0.05,325.3994324392667,36.65547191249232,0.6660474075896926,0.05930959081446967,-0.05754529099906791,0.00895065142851882,0.003156566619873047,8.594980627858394e-05
interval,minkowski_p1,1,0.1,319.8512430149334,26.083626271702425,0.7074141107069745,0.025229261955142072,-0.0478917747788249,0.014186033171507012,0.002772696812947591,0.00018779465065513825
interval,minkowski_p1,1,0.15,350.6578066913333,44.0792867766661,0.7099913463052397,0.030573608526516846,-0.04627043888553793,0.012187802041977575,0.0022322972615559894,0.00012879610461552434
interval,minkowski_p1,1,0.25,347.6890737504,78.36139375473155,0.7080462831359448,0.054139389005805984,-0.04118699694686583,0.014592887713167791,0.0017378807067871093,0.00018625620340241103
kmeans,minkowski_p1,1,,466.1047649862216,10.512685548555558,0.5772634387212262,0.012230509600225767,-0.07650352784839161,0.0009270488045586212,0.0712047259012858,0.0417092894659135
farthest,minkowski_p2,2,,317.61129613298067,27.596819438767803,0.7401689539020389,0.013519843640581383,-0.029012667256025547,0.009401662925660687,0.0004764715830485026,4.6126436643321745e-05
interval,minkowski_p2,2,0.01,252.3568137106692,17.770705951826503,0.7161537202057473,0.017711172913704002,-0.04740575713583755,0.01480130992138598,0.004198233286539714,8.818770611735578e-05
interval,minkowski_p2,2,0.05,263.09643239299055,35.93449581154899,0.7129648055461981,0.029349634047434896,-0.046264578253592044,0.013831933622025394,0.0032906373341878253,0.00011710540292522442
interval,minkowski_p2,2,0.1,256.6272393227158,25.407109274315737,0.706470323348602,0.02335227132614385,-0.05017539735038517,0.012421716186302455,0.0027571678161621093,8.235157650069973e-05
interval,minkowski_p2,2,0.15,278.7678175391792,40.64949217914743,0.7213425846128612,0.03778662179615076,-0.03805917859333626,0.017517138779064665,0.0023108005523681642,0.00014784059579366638
interval,minkowski_p2,2,0.25,282.8329512073764,38.00756435094093,0.7220491333085545,0.03337965377856436,-0.03632862594580255,0.015960898126485844,0.0017470995585123698,5.592311731376603e-05
kmeans,minkowski_p2,2,,463.2264569838086,10.377973848437138,0.5806109230308809,0.012072889085523187,-0.07624365216422899,0.0009197494689528926,0.07109955151875814,0.033972876748553066
farthest,mahalanobis,,,323.5159286295051,82.4223214491389,0.6685306674601394,0.08325775222761878,-0.04922086590652962,0.016900981078186748,0.0004836400349934896,4.051889595581607e-05
interval,mahalanobis,,0.01,340.2517987989365,83.45031281612943,0.686184039802902,0.06562109222743909,-0.042687585912707486,0.01989082045995809,0.004048744837443034,0.00010695953369926695
interval,mahalanobis,,0.05,478.36113797878437,126.45892818020175,0.6207698708553584,0.12314465861317966,-0.020344143374480615,0.02827228070915825,0.003074057896931966,6.164737133109294e-05
interval,mahalanobis,,0.1,500.41501414085735,178.47727544886587,0.627505460887549,0.12669529146262867,-0.015981344782597016,0.032120590976832133,0.002723995844523112,0.00013224479096145145
interval,mahalanobis,,0.15,480.22360986461297,171.21429396056894,0.6873690451594011,0.03255863930164363,-0.0242739683584003,0.02666406081688408,0.00428625742594401,0.005442427478315513
interval,mahalanobis,,0.25,645.6661148080531,77.28176848062357,,,0.0,0.0,0.001662302017211914,7.01904836771937e-05
kmeans,mahalanobis,,,470.1768853938628,9.201296972704002,0.5725061911890418,0.010712915923031804,-0.07688016719556483,0.0008157274844275138,0.045340442657470705,0.04083312419287798
