algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,48.93333333333333,1.569146972791976,0.05652491598015466,0.029246780619072345,0.006489361177522241,0.026240786840928555,0.0008895715077718099,0.00010677528854750222
interval,minkowski_p1,1,0.01,46.93333333333333,1.1234866364235145,0.07124861723387894,0.016001507137766262,0.017333874195982448,0.029360562440908993,0.00938261349995931,0.0006412648740977693
interval,minkowski_p1,1,0.05,50.86666666666667,1.9275776393067947,0.06240746072401491,0.0218285120685451,0.015761292460526603,0.03265300190304682,0.007187287012736003,0.0006041750322090933
interval,minkowski_p1,1,0.1,56.8,3.448671241700683,0.0710252846381201,0.03533190149527992,0.00799033536245109,0.01843416560735922,0.00664372444152832,0.0012313140361535561
interval,minkowski_p1,1,0.15,59.06666666666667,0.6798692684790381,0.07489212133506087,0.03552171842815198,0.01918695948128476,0.03181401782302333,0.00502630869547526,0.0002956143859443123
interval,minkowski_p1,1,0.25,58.266666666666666,1.1813363431112902,0.08716061421360505,0.020343883029087757,0.0002636707046672575,0.02871161134358438,0.0019644419352213543,8.49627777068705e-05
kmeans,minkowski_p1,1,,15.388588672374867,0.16734617673688057,0.160597463311891,0.007751675200388471,0.018949965000564784,0.008889636739671292,0.06821961402893066,0.04382198643763775
farthest,minkowski_p2,2,,16.223503107467554,0.36232617256263544,0.0944961579944835,0.020212598222531495,0.0037031998709298373,0.010706568849869192,0.0009976704915364584,0.00013159265377959587
interval,minkowski_p2,2,0.01,15.44310772533272,0.49371764917020067,0.0963461453908093,0.026765559153624625,0.002844270858582785,0.012739006620404775,0.010461044311523438,0.0005611711480333179
interval,minkowski_p2,2,0.05,16.188916891984984,0.9232026850786849,0.09945716134181755,0.015704464532603386,0.010473055735595805,0.0186492048739765,0.008269437154134114,0.0003364025474840446
interval,minkowski_p2,2,0.1,18.336074199207417,0.23462657101605672,0.11265010237490167,0.02359750419549073,-0.0006671232981499423,0.019954386640854502,0.007001431783040365,0.0003057478453700033
interval,minkowski_p2,2,0.15,18.336460308329194,0.20221282781936303,0.10789724893275092,0.020753619971461534,0.00860362126814797,0.017260942343256806,0.005617523193359375,0.00019564859289882114
interval,minkowski_p2,2,0.25,18.118065831799935,0.3683619341950138,0.09975593382648129,0.02700924908104075,0.01757872151704534,0.03436016029068324,0.0021696567535400392,0.00018420136101218525
kmeans,minkowski_p2,2,,15.391314288110474,0.3170357651446081,0.1635241786367069,0.011875382798838754,0.01642376939570438,0.007728546920229481,0.09648601214090984,0.004216687447721192
farthest,mahalanobis,,,18.02750134757473,0.736565337580157,0.07320688383427333,0.025036964539885104,0.013116949331076941,0.02300482057016824,0.0010196208953857423,6.796118983509287e-05
interval,mahalanobis,,0.01,18.549320308308328,0.67531432171506,0.06230700500240436,0.016674555111718732,0.0060751012843500655,0.01775512417627715,0.011283047993977864,0.005877487675740896
interval,mahalanobis,,0.05,18.510365471449145,1.0163841695195028,0.07791275976426597,0.01677416471689599,0.002764223252798344,0.02388818210446591,0.0083467165629069,0.002613928109151241
interval,mahalanobis,,0.1,19.184161879335022,1.941116428107534,0.06788171197366116,0.01858906498127639,0.008286309020652648,0.021305497377027704,0.007769536972045898,0.0021722834110989783
interval,mahalanobis,,0.15,20.144506543927605,3.957969525946932,0.1012576990891296,0.04399837885916735,0.006878800694554168,0.015574976303421507,0.0058190345764160155,0.0019925725814219737
interval,mahalanobis,,0.25,21.666838243018738,5.355506874628575,0.07124074876215807,0.025257662459992364,0.008538060277272656,0.018865364028096302,0.0023490587870279946,0.00016195727261888467
kmeans,mahalanobis,,,15.330694986752867,0.22587235229637817,0.1637620704511805,0.00954592372550261,0.019169314394302663,0.008248085845235101,0.0783353328704834,0.03675310078380382
