algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,748.8102666666666,68.55334853824588,0.6098941253739196,0.016434484026700207,0.0771931118687791,0.015799290945293715,0.00042775472005208336,4.953814601157481e-05
interval,minkowski_p1,1,0.01,664.5658533333333,59.69011690480388,0.5496325487773407,0.04209788713192287,0.16701603957974537,0.05785286501665209,0.003899733225504557,8.860145383474921e-05
interval,minkowski_p1,1,0.05,672.7454733333333,45.83065808359389,0.569488053565051,0.05388220587758082,0.1330394422043052,0.059711794059730254,0.0030112266540527344,9.669194736799529e-05
interval,minkowski_p1,1,0.1,710.1370466666666,60.94196999596547,0.5522947789263669,0.030307771997978,0.14607287989056708,0.05455440151806745,0.0025733788808186848,9.545845879744485e-05
interval,minkowski_p1,1,0.15,766.80012,51.50068420572297,0.5993651573486077,0.028572726207043826,0.08237636595329391,0.03982193672760774,0.002122036616007487,5.2462552693117035e-05
interval,minkowski_p1,1,0.25,974.2720533333335,163.58622544506153,0.45152069975670744,0.026913740190746105,0.022256531831344992,0.057585641739531186,0.0015922069549560546,6.45429933762575e-05
kmeans,minkowski_p1,1,,471.01109220899065,4.158207832893372,0.35122848476791313,0.014147270894431657,0.02299662772002529,0.007178761636001179,0.08934483528137208,0.023753440244949343
farthest,minkowski_p2,2,,386.39191964913505,35.89682976742859,0.5886525100705096,0.11642311953549386,0.06504248286687335,0.02454218741704582,0.0004649798075358073,9.341411801030823e-06
interval,minkowski_p2,2,0.01,364.54636548957177,19.406307545956366,0.5902181605498051,0.03633199603993196,0.10121454700411459,0.04281515217436813,0.0040021578470865885,9.375914691787506e-05
interval,minkowski_p2,2,0.05,371.8952620341427,20.812906192480266,0.612062109676924,0.02754726248191208,0.07654222206821873,0.028909316052673988,0.0030803362528483073,8.349239661646891e-05
interval,minkowski_p2,2,0.1,375.1784576285337,30.792473428970105,0.5741316634773829,0.05560955182681603,0.08779476736619357,0.04544556754600285,0.0026800950368245442,0.00015347053794989904
interval,minkowski_p2,2,0.15,376.2250931227497,32.655722263256784,0.6064756847481185,0.012563881291757386,0.07647505609124959,0.02444220634449848,0.0021881739298502604,8.941673084211428e-05
interval,minkowski_p2,2,0.25,512.9108455798855,37.30966312956455,,,0.0,0.0,0.0016009171803792318,3.788945245292347e-05
kmeans,minkowski_p2,2,,471.65290642754786,4.173611152995482,0.34932071749043186,0.014136099380418281,0.021981348680889048,0.007040857809674087,0.07546598116556803,0.037635014056826725
farthest,mahalanobis,,,435.58079790226174,46.244878650315435,0.5698761183441975,0.040786770519794555,0.07747592139609623,0.0464345969516001,0.0004711786905924479,1.4683814702731115e-05
interval,mahalanobis,,0.01,433.05651534915813,75.9472195829291,0.5429023840166829,0.12259798225602549,0.04149819178327119,0.039467170151959705,0.0039319197336832685,8.840268850503141e-05
interval,mahalanobis,,0.05,467.5264397998305,65.80583094412991,0.4686544201469247,0.10872109916494915,0.04270338744447254,0.050196687390853645,0.003023211161295573,9.761065370238527e-05
interval,mahalanobis,,0.1,483.25304793250143,60.74149892224857,0.5694337557397802,0.022800894973159153,0.01944106917395829,0.029865343846972727,0.002583169937133789,5.09506546714168e-05
interval,mahalanobis,,0.15,467.6260898372409,61.95676843173858,0.49357627876468846,0.07164288800606199,0.04612797756793673,0.06668655318190259,0.0020950635274251304,6.158450302632194e-05
interval,mahalanobis,,0.25,516.1467574196297,19.21487206275247,,,0.0,0.0,0.0016043504079182942,9.279345300311063e-05
kmeans,mahalanobis,,,473.79518701131747,3.7340421958189314,0.3419689689955848,0.012670909198973167,0.01833676503911644,0.0064627211084483886,0.05270676612854004,0.046293217644950896
