algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,8.333333333333334,0.47140452079103173,0.11816587783626131,0.024468670453778006,0.13444581188781127,0.0708349352590075,0.00048581759134928387,3.215507652321585e-05
interval,minkowski_p1,1,0.01,8.266666666666667,0.4422166387140533,0.13245839376727914,0.02934275364957306,0.20455411140052335,0.092839870873707,0.0054542859395345054,0.0008243457646048033
interval,minkowski_p1,1,0.05,8.733333333333333,0.6798692684790381,0.13511747022873108,0.03160065697606917,0.20856537027996533,0.09315733224737131,0.0037622451782226562,0.0006167899915618285
interval,minkowski_p1,1,0.1,9.133333333333333,0.9568466729604881,0.15656370230736594,0.02078779865744402,0.15645644392786845,0.0912680407287358,0.003183603286743164,0.0005872846409925931
interval,minkowski_p1,1,0.15,9.466666666666667,1.2578641509408806,0.145509729468755,0.04205503260980965,0.13610290414274656,0.1379322446032891,0.002552143732706706,0.0003217406546502661
interval,minkowski_p1,1,0.25,12.533333333333333,2.3907228102721474,0.14016152993751763,0.007016669490967295,0.04520092870292743,0.10525610020156738,0.001865530014038086,0.00011091632048601912
kmeans,minkowski_p1,1,,2.975452141151631,0.050694588790052605,0.21403512407129643,0.008529208193860873,0.22848067391873783,0.0350321110599877,0.08247300783793131,0.031769605409780896
farthest,minkowski_p2,2,,3.8266127671757753,0.15395257956276506,0.12538796754848786,0.018149491273803352,0.14072391590397373,0.07954340140476,0.0005058129628499349,1.2894270047464395e-05
interval,minkowski_p2,2,0.01,3.7763589658311045,0.07602386371204985,0.14012464458245685,0.03439364637203019,0.1750966352013376,0.07435334480103944,0.005258035659790039,0.00016880143608852762
interval,minkowski_p2,2,0.05,3.79721809845664,0.21863526572813882,0.150132720061688,0.030858285063619033,0.1703678811940419,0.09475881585734408,0.004059394200642903,0.00014677113483367867
interval,minkowski_p2,2,0.1,4.038469397403318,0.1552361413145033,0.16487146380036044,0.03725981648852099,0.2327141237064309,0.12202008864065154,0.003530550003051758,0.0001711318050824963
interval,minkowski_p2,2,0.15,4.047485196577211,0.13365471741893548,0.16600477053514046,0.03835061690087714,0.24607056283568632,0.11872032444717093,0.0027681827545166016,8.217039286324482e-05
interval,minkowski_p2,2,0.25,5.113377276350396,0.23102560399966374,,,0.0,0.0,0.002154747645060221,0.00013315776657431527
kmeans,minkowski_p2,2,,2.9766685767523478,0.03416553483122268,0.2053149345594258,0.011985465051542953,0.1417382883979189,0.07200717312668611,0.040793259938557945,0.04236180707433565
farthest,mahalanobis,,,3.988656427297941,0.15476833755056357,0.09864457441830957,0.031049319564455988,0.1333101276223128,0.09079279304574626,0.0005012830098470052,1.4874177448824218e-05
interval,mahalanobis,,0.01,4.0098022842843095,0.23413452176403818,0.13534715663908659,0.03083746265127318,0.16149025116653604,0.10287486487527767,0.004796870549519857,0.00021415932761616638
interval,mahalanobis,,0.05,4.097179114006362,0.28247119218907174,0.1262297696891968,0.03464239969944383,0.1175764563285635,0.08640631424233805,0.003784434000651042,0.000165332663246186
interval,mahalanobis,,0.1,4.124004651410758,0.3548506283998535,0.10691269485290408,0.03790846848766469,0.10523280087915587,0.11700922996106586,0.003198051452636719,0.00015597692091351518
interval,mahalanobis,,0.15,4.2572258769441635,0.27573145028633433,0.12933870387055219,0.029015599229918525,0.09094391461868966,0.06894639394514955,0.0026581923166910807,0.00012694191098292255
interval,mahalanobis,,0.25,4.9496178743481005,0.4098165011324907,,,0.0,0.0,0.0021594365437825522,0.00014099650028462246
kmeans,mahalanobis,,,2.9573585884034825,0.04468826173598411,0.19920340232394154,0.012777643851988783,0.11478152378728806,0.06786290045456266,0.05634350776672363,0.04525717105681911
