algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,19.744666666666667,1.202507750032776,0.25702593805417456,0.14427616720146358,-0.00987410926086432,0.017816696788943966,0.0005481878916422527,6.247819203884817e-05
interval,minkowski_p1,1,0.01,17.979999999999997,1.0000799968002552,0.35630598891502535,0.10667744319454311,-0.005153569169434782,0.01471782957293942,0.005494530995686849,0.0007340340334081745
interval,minkowski_p1,1,0.05,19.197999999999997,2.4744782615061847,0.34131577615607894,0.10179288781990732,-0.011727752083615189,0.011138557971768904,0.0041029135386149084,0.00044298019609667106
interval,minkowski_p1,1,0.1,21.064,3.494440918563845,0.3791673114578013,0.15965301517176916,-0.0039286235256220615,0.012783837902986657,0.0034148534138997394,0.0003897679829833456
interval,minkowski_p1,1,0.15,22.85333333333334,6.888642504554548,0.41369088617655425,0.17624149100840047,-0.0053250591994116634,0.01584462907370547,0.0026211261749267576,0.0007321188334130736
interval,minkowski_p1,1,0.25,33.71,3.3235844104420362,0.5936623135760758,0.059191137368514384,-0.007615966884063142,0.009679999742767358,0.0017324924468994141,9.070314318003519e-05
kmeans,minkowski_p1,1,,18.136082735388033,5.099236231209818,0.37170524157082396,0.018651047121372336,-0.0016642310708720918,0.009534244168013666,0.06831895510355632,0.034748237352591894
farthest,minkowski_p2,2,,12.768663591632004,0.9576308006731572,0.39634029472204063,0.06434822353743733,-0.01536874139882038,0.009943439999502125,0.0005801518758138021,1.2035350561084489e-05
interval,minkowski_p2,2,0.01,11.453491492230443,0.8711176560822372,0.4280718940459481,0.06122182679920748,-0.016034714209702164,0.007686688300629313,0.00558176040649414,0.0002388414098540324
interval,minkowski_p2,2,0.05,11.727688163579833,1.5878193656173414,0.4582631060486229,0.03169643225709294,-0.017415612416395998,0.0037787326616644246,0.0040128231048583984,0.00017062208134672788
interval,minkowski_p2,2,0.1,15.802934337245995,1.0056770518866858,0.45823092126596365,0.14146297064359073,-0.008638702133773612,0.014720635447320794,0.0033069769541422527,0.00021284474401355732
interval,minkowski_p2,2,0.15,14.781259975376718,1.069538938200159,0.4482974819312934,0.1537846977768949,-0.01022256816384794,0.015054580831562553,0.002382040023803711,0.00013023836114344354
interval,minkowski_p2,2,0.25,25.387993567072215,4.568041444459549,0.6266025830965904,0.0531768185543032,-0.008714983041682382,0.007269449229828682,0.0017255624135335287,1.7858992780027313e-05
kmeans,minkowski_p2,2,,18.025773554473634,5.045001759482944,0.37425293302113044,0.018467634578332955,-0.0032062251297017906,0.006414068826394361,0.0921477476755778,0.024054801925156757
farthest,mahalanobis,,,20.14744900870987,3.3419562796016717,0.2835880199624884,0.11651086314916602,-0.011221710699711602,0.014104872683471202,0.0005772272745768229,1.8573907385128782e-05
interval,mahalanobis,,0.01,19.788712017396715,4.2017682816332,0.262820924231831,0.08975000972561178,-0.002066947961006398,0.016670817378682364,0.004807678858439127,0.00016941476583345527
interval,mahalanobis,,0.05,25.616346477457782,10.020265123580137,0.3207935981410374,0.11954411958679506,-0.009504607656975748,0.013937388700512804,0.0037472089131673175,0.00017986131722161843
interval,mahalanobis,,0.1,22.119710328737558,6.723314284840533,0.33693155176408796,0.09406589743221665,-0.010261349727423864,0.014367204603353452,0.003151575724283854,0.00015167788677095635
interval,mahalanobis,,0.15,39.07298152126486,12.229250251162652,0.3801882767852048,0.12583808177693898,-0.007610327333222898,0.013887733955434585,0.002576446533203125,0.00012232097827155438
interval,mahalanobis,,0.25,41.04440137180113,8.84856237083114,0.32224926750209815,0.15801702962640882,0.003398803202543608,0.017906990735801057,0.0017718791961669922,8.830590748981883e-05
kmeans,mahalanobis,,,20.78528629974058,5.801999269785958,0.3695186402615966,0.02918016956971543,-0.004093920162360645,0.007967107994947313,0.09766600926717123,0.004372073383192207
