algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,113.4,6.56048778674269,0.49189358945423295,0.03465644727245656,-0.005732044816465079,0.011900411982910085,0.00043117205301920574,1.8815816760387342e-05
interval,minkowski_p1,1,0.01,90.53333333333333,16.028585575638157,0.5039057389411116,0.03549036047762315,-0.011494001865235382,0.017502130367647736,0.003805685043334961,0.0002271203833057524
interval,minkowski_p1,1,0.05,94.46666666666667,14.17917095210044,0.4978711732288477,0.040197806111065396,-0.004211347660136111,0.017311333170788076,0.003006267547607422,0.00023251137897573347
interval,minkowski_p1,1,0.1,93.2,18.741042304702976,0.5196647848878807,0.01989805021103337,-0.005341861466746892,0.015096962126103258,0.002578290303548177,0.0001998490247498205
interval,minkowski_p1,1,0.15,98.73333333333333,17.433556403926563,0.5122298568351424,0.03828141385998313,-0.008283883621486958,0.016703603287410447,0.0020514488220214843,0.00011962724531652308
interval,minkowski_p1,1,0.25,106.66666666666667,21.274920028574073,0.504512282087515,0.0,-0.0011393325607655862,0.0042629920919806255,0.0015095074971516926,4.602690412512008e-05
kmeans,minkowski_p1,1,,64.95027334602841,1.4210854715202004e-14,0.5520540021070148,1.1102230246251565e-16,-0.0170301737663768,3.469446951953614e-18,0.07766094207763671,0.020201103488047618
farthest,minkowski_p2,2,,74.98245103939516,8.953511571335609,0.5327886407950472,0.03483224775371853,-0.014066155993502274,0.011390838661046112,0.0004415988922119141,1.086595998334517e-05
interval,minkowski_p2,2,0.01,62.701902509685176,7.216053053154159,0.5452958656968815,0.029562341833147238,-0.013555492635449059,0.014070714425428475,0.003975280125935872,0.0002375653555328021
interval,minkowski_p2,2,0.05,64.75325183726332,8.165968599414423,0.5450273690526057,0.022845214557984335,-0.009240882422226803,0.01337187216436542,0.0030401865641276043,0.0002303964263071359
interval,minkowski_p2,2,0.1,68.22129442010706,10.00274900440226,0.55654702224763,0.013826297181352948,-0.011712705400808448,0.012280193259779495,0.0025484879811604817,0.00015535236713619548
interval,minkowski_p2,2,0.15,76.94468441794923,12.403583077302098,0.5291680407141863,0.033072313628503235,-0.009043338592565713,0.013726585108885027,0.0021352291107177733,0.00010293632808629639
interval,minkowski_p2,2,0.25,82.1694960461745,14.43747159943113,0.5128741051279602,0.0,-0.0006165400832666365,0.002306881756796831,0.0015477021535237631,7.18361610311781e-05
kmeans,minkowski_p2,2,,64.95027334602841,1.4210854715202004e-14,0.5520540021070148,1.1102230246251565e-16,-0.0170301737663768,3.469446951953614e-18,0.08760986328125,0.01791563567022649
farthest,mahalanobis,,,82.91164367671965,9.465340784039915,0.4442514386651587,0.15087619498076965,-0.02700651674225342,0.01418421555052831,0.00044056574503580727,1.2205499645681738e-05
interval,mahalanobis,,0.01,76.17906966324573,12.63128438609287,0.5111172857297125,0.04625148737116772,-0.002942633692131963,0.011425176066218692,0.0037504990895589193,0.00014450414739268453
interval,mahalanobis,,0.05,76.9717415681486,10.373893513662596,0.48617844484648964,0.04898241663324846,-0.001820602738886522,0.0052358482578688595,0.0028008143107096355,5.5399699964852264e-05
interval,mahalanobis,,0.1,77.39450894534122,9.761658932245842,0.48599807937119127,0.0805485171751412,0.007297366341114149,0.025671994397730727,0.002418994903564453,0.00011495033108461654
interval,mahalanobis,,0.15,81.6966327045711,12.154294360474777,0.5141418572604973,0.04260781383903096,-0.008871907523970485,0.014045186135762054,0.001989444096883138,5.286119803774247e-05
interval,mahalanobis,,0.25,87.36383589804613,12.221300142753352,,,0.0,0.0,0.0015008767445882161,6.434898555857122e-05
kmeans,mahalanobis,,,64.95027334602841,1.4210854715202004e-14,0.5520540021070148,1.1102230246251565e-16,-0.0170301737663768,3.469446951953614e-18,0.08309202194213867,0.020922964466927364
