algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std,num_datasets
farthest,minkowski_p1,1,,189.20968813712165,13.844839619392364,0.3824631830485608,0.0548355022566782,0.042254632782816694,0.02724623185420655,0.000507817268371582,4.4452381124843396e-05,10
interval,minkowski_p1,1,0.01,166.9034454934575,14.799018863867502,0.39865739747099826,0.03347824292324355,0.062133203868779595,0.03716944197119325,0.005300976435343425,0.00040262126894566476,10
interval,minkowski_p1,1,0.05,172.48380534821166,14.2364575432994,0.38899050632603827,0.049452810282249134,0.04872481134508226,0.027537500076929435,0.00404327392578125,0.0002866527610376547,10
interval,minkowski_p1,1,0.1,176.6984787469021,17.24484914786037,0.3967578300380463,0.0535117232066501,0.047346665441784744,0.028193413599850746,0.0034593534469604488,0.00032553904928957623,10
interval,minkowski_p1,1,0.15,192.99321929792762,21.85563104146261,0.4043279847932248,0.04629120340016236,0.03900146919280366,0.030704223083066428,0.002730288505554199,0.000245627697064127,10
interval,minkowski_p1,1,0.25,216.6450608544273,35.8376094650639,0.43584162922508707,0.0438287477453535,0.023181196848893353,0.026625933921058203,0.0017599042256673178,0.00010864073122572976,10
kmeans,minkowski_p1,1,,139.3401871012784,8.126697539299988,0.40626443259459577,0.015214624441108002,0.060109975705367726,0.018362790487373087,0.07500991026560466,0.03213822203595425,10
farthest,minkowski_p2,2,,120.06524681720494,10.904703318318594,0.4247371637913351,0.03408502140266738,0.06021330209144765,0.023808085518650074,0.0005494372049967447,3.137035630009092e-05,10
interval,minkowski_p2,2,0.01,104.98923146537868,8.51706219111503,0.43080170308964794,0.026023176367947227,0.06923457896604786,0.022457171621972815,0.005622696876525878,0.0003155657147733864,10
interval,minkowski_p2,2,0.05,105.3703488469445,10.725583967673364,0.43603670764688474,0.021580137608462186,0.06596645896789079,0.02637661875180536,0.004268282254536947,0.0002486084353471417,10
interval,minkowski_p2,2,0.1,110.07321310637667,10.41489378770146,0.4346507005364181,0.03756305096881386,0.06939779966364272,0.03382380690852886,0.003589704831441244,0.00018360881236795853,10
interval,minkowski_p2,2,0.15,114.97524942252775,12.984511807663605,0.4320058021763966,0.03575338089711434,0.05059339912501026,0.030738888534195312,0.0028710873921712243,0.00014661998162543083,10
interval,minkowski_p2,2,0.25,132.74174162674043,18.61734301803853,0.5102489669202032,0.025461503596341167,0.02296142525137011,0.015217078903052118,0.0018585697809855146,0.00011451576573562184,10
kmeans,minkowski_p2,2,,137.8063188036456,3.3748129963680595,0.4074605185296164,0.008358742374219342,0.04733075362894629,0.020631262180829738,0.07633936564127604,0.029330390289693455,10
farthest,mahalanobis,,,150.46774770545292,25.002164519836814,0.33680760667871557,0.08284667315708096,0.0643576269047053,0.04237745406473155,0.0005502589543660482,2.4408128512431796e-05,10
interval,mahalanobis,,0.01,151.2648469963104,30.37510691058278,0.35181046584190145,0.07763717582487592,0.05785961202636438,0.038462760608352096,0.005157658259073893,0.0007346542270770115,10
interval,mahalanobis,,0.05,174.5833303393578,34.282776887874086,0.3278180768440675,0.09050841592769258,0.04063767852878304,0.04480078109006845,0.003960901896158854,0.00038346899805198734,10
interval,mahalanobis,,0.1,176.3334541069725,39.70884893337021,0.3494729585139905,0.06988745049789469,0.049209163720432866,0.050163128615452704,0.0034772666295369466,0.0004329947277927638,10
interval,mahalanobis,,0.15,185.96289042752238,38.70967136121088,0.3322175687492913,0.09166801712448724,0.010391195650069043,0.034377197500052,0.0029714186986287434,0.0008326177886034952,10
interval,mahalanobis,,0.25,208.96795051469758,23.036819720403006,0.1967450081321281,0.09163734604320059,0.0011936863479816264,0.0036772354763897354,0.0019262393315633136,0.00015300302315730672,10
kmeans,mahalanobis,,,138.7622447844946,3.077452222419985,0.4057678959114079,0.00874406671085245,0.049966002597871845,0.019745184795844535,0.07251074632008872,0.03311619889791217,10
