algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,6.323705288083734,0.9049709112492064,0.5754102000634985,0.05439503388587288,0.5070939705482123,0.09920248109058998,0.0004734675089518229,5.4297625850146385e-05
interval,minkowski_p1,1,0.01,5.418226544751494,0.48500958323431287,0.5779409116659395,0.029791922270198074,0.6552235754213792,0.08918928856476586,0.006988302866617838,0.0003952996095819803
interval,minkowski_p1,1,0.05,5.830570808300697,0.7717251408835929,0.6160267101845514,0.09423014661606174,0.6302540547089299,0.054788393653872794,0.005012114842732747,0.00036195747963707647
interval,minkowski_p1,1,0.1,6.1082524340596756,1.0764607595113018,0.6278076049690599,0.10578151187607177,0.6193602370038095,0.05442782202455739,0.00417180061340332,0.00039573386949239806
interval,minkowski_p1,1,0.15,6.0640585317516,0.8868907380901693,0.6360585778549732,0.11431895564038251,0.606232991277076,0.06489285876431641,0.0036727269490559895,0.0018633429392455293
interval,minkowski_p1,1,0.25,7.206137562137073,0.4488623425243833,0.7961418638685435,0.010311087264525856,0.5680357761685765,0.009049804549876032,0.002310450871785482,0.00013712158315593048
kmeans,minkowski_p1,1,,3.712014785087625,0.3220138601759188,0.6259969852605903,0.00680984484240686,0.8093109123637902,0.0977198211653566,0.07998544375101725,0.03010524564201864
farthest,minkowski_p2,2,,4.956553452945963,0.6615192474166933,0.5781783286729876,0.033379376513179876,0.5851886274233213,0.09643332143019433,0.0005222638448079427,1.760660897013162e-05
interval,minkowski_p2,2,0.01,3.9792048945052496,0.361980940652002,0.5631703034972474,0.03504793388256884,0.6479394400174258,0.07782252455272266,0.007250690460205078,0.0004934404884930896
interval,minkowski_p2,2,0.05,4.652630240254343,0.5828468304659232,0.6668198082485922,0.10996585851227739,0.6231518019199488,0.09117470224398756,0.0050722281138102215,0.00016499072975439578
interval,minkowski_p2,2,0.1,4.639596463273299,1.0057989805339518,0.6582468039672794,0.11751847529206101,0.6123474454303607,0.06425172632628703,0.004365698496500651,0.0004228379812739188
interval,minkowski_p2,2,0.15,4.885687963417676,1.08421071830573,0.6805826663792086,0.11095407653084761,0.6231096033407643,0.07019262861910366,0.003278748194376628,0.00015960769609324265
interval,minkowski_p2,2,0.25,5.582962553983519,0.5548522796501741,0.7992423111137475,0.0008861765542088858,0.570890526449468,0.0012969138637491957,0.0023270924886067707,7.261865507486832e-05
kmeans,minkowski_p2,2,,3.7120147850876246,0.32201386017591876,0.6260431559533038,0.006868920154076657,0.809697839131844,0.0976273697042868,0.06682820320129394,0.03979621054643582
farthest,mahalanobis,,,4.825378354843699,0.8293887785407171,0.5693721163554828,0.01872200641866464,0.6450399141216697,0.053320915338249245,0.0005118052164713541,1.4835605530441857e-05
interval,mahalanobis,,0.01,4.2755001814615285,0.41022756789675985,0.6010588650032856,0.025518449000301344,0.7817879581367858,0.09500327886926417,0.007320817311604818,0.0004342433892983243
interval,mahalanobis,,0.05,4.500550897135551,0.5439688124657736,0.6090031817602494,0.019919081325389994,0.8007367651076873,0.0767029480538677,0.005646705627441406,0.0004329829486549371
interval,mahalanobis,,0.1,4.696052757609297,0.8896856960304103,0.5965992771009457,0.02775685476799914,0.7649998149315155,0.10317955499132477,0.00453955332438151,0.0002727313810938825
interval,mahalanobis,,0.15,4.524179670559601,0.5124555278264604,0.593830247841415,0.034496174090221314,0.7641690445901265,0.09982028480458123,0.0035297552744547526,8.493779657525158e-05
interval,mahalanobis,,0.25,4.977363880973446,2.1510418075110187,0.6030408811312464,0.048151808974147114,0.6733828733059379,0.22276112491553726,0.002341890335083008,9.501442744429014e-05
kmeans,mahalanobis,,,3.7120147850876246,0.32201386017591876,0.6260012177314543,0.00680857733714533,0.8083307881080043,0.09746647518171446,0.08680469195048014,0.02110783001014941
