algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,7.133113643820075,0.8516541626288201,0.47486875679714735,0.0404371527528879,0.7213902773047597,0.08594499850388869,0.0005058447519938151,4.5312968709033794e-05
interval,minkowski_p1,1,0.01,5.964399927806168,0.4528460470856447,0.48902650057450087,0.035816996939627414,0.7591606539837659,0.06798571597568955,0.009033536911010743,0.0010208624408225568
interval,minkowski_p1,1,0.05,6.616405913314867,0.7205141284129648,0.45046406332005046,0.04903180682868495,0.644196966529871,0.09447166346615067,0.006463479995727539,0.0008017914523060988
interval,minkowski_p1,1,0.1,6.937722776726226,1.1743495538511375,0.4985798594762896,0.049327468081392586,0.6722732637987837,0.12341691072306751,0.005049006144205729,0.000612598467306652
interval,minkowski_p1,1,0.15,6.611709457901292,1.1460953500065538,0.4953082899142099,0.04388379573829585,0.7028649777939447,0.10789343648728784,0.0037291367848714192,0.000887350566401776
interval,minkowski_p1,1,0.25,12.029954754733259,1.4986676768511398,0.5636940035988633,0.045709038131523314,0.3095570958974443,0.042042074610387684,0.002368927001953125,0.00039243407458885624
kmeans,minkowski_p1,1,,3.743179757800206,0.24980486353526526,0.5505455135228996,0.021617492229452598,0.8846613796428737,0.05826215982953801,0.003284756342569987,0.0009526932496791655
farthest,minkowski_p2,2,,5.757067622019349,0.273180993205219,0.4764334835946324,0.05383833384136716,0.7355745616647291,0.10567640528896191,0.0005446751912434896,1.4536852596324666e-05
interval,minkowski_p2,2,0.01,4.758903913278622,0.1837132371199557,0.5057248092467584,0.033051313947278206,0.7394777911858693,0.07120323219217721,0.008525975545247396,0.001012963881279961
interval,minkowski_p2,2,0.05,4.82689792349333,0.42379980535648043,0.4999385550968299,0.03380376474722025,0.7385544048178513,0.06055230647069392,0.00646971066792806,0.0007826236847514574
interval,minkowski_p2,2,0.1,5.419383918171365,1.0647022931145422,0.5062496868116029,0.0423667476577687,0.6896480630425551,0.14311906153772525,0.004948711395263672,0.0005694127173951172
interval,minkowski_p2,2,0.15,6.032165731181882,2.118958243024162,0.5176915688892376,0.03510577400433073,0.6512854508131232,0.1984726834281046,0.0035251776377360025,0.00025188242545595994
interval,minkowski_p2,2,0.25,8.986733960043132,0.8062987454508391,0.5532428077951056,0.05194619882542958,0.3397276006177025,0.09100905390777018,0.002331336339314779,0.00012744789726585974
kmeans,minkowski_p2,2,,3.803989547054068,0.33462069559112023,0.546117666876676,0.025947876707404605,0.8700824197372851,0.07791771348974748,0.04341028531392415,0.04386291693840556
farthest,mahalanobis,,,7.28416522242489,1.1811278047995388,0.37577700943861453,0.10366871231259124,0.6218902388003992,0.12977923155214066,0.0005358060201009115,1.1843962692097092e-05
interval,mahalanobis,,0.01,4.996107922875713,0.5179773067842267,0.4721767968712177,0.06571880501505369,0.7386415455475139,0.09844475722723244,0.008198753992716471,0.00040113871700167705
interval,mahalanobis,,0.05,5.713943346730798,0.9655636067374589,0.46384456580761374,0.08668578739704762,0.7084476961752918,0.11716708162770939,0.00571901003519694,0.00018557585881703878
interval,mahalanobis,,0.1,5.894170229321158,0.7279772217853071,0.4880448574901539,0.04436744731665839,0.6799935907262804,0.08297152518415646,0.004711182912190756,0.00020884338669677224
interval,mahalanobis,,0.15,8.11220548840921,1.119336138446463,0.46392847264168685,0.05680618754134471,0.47320027624471017,0.06813155727555929,0.0037308533986409507,0.00019838992563078815
interval,mahalanobis,,0.25,8.163821391509625,0.6868373218883252,0.4856783738911641,0.05287006886626144,0.47543768478560067,0.053984003206828474,0.0023096243540445963,7.278610962177923e-05
kmeans,mahalanobis,,,3.8067523477736294,0.3394199224739347,0.5452970074090838,0.028094691729944214,0.8707224011933163,0.07887344775897118,0.04036116600036621,0.04539239419560228
