algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std,num_datasets
farthest,minkowski_p1,1,,5.114288231265266,0.4972907233785763,0.5069274885320757,0.048103663863897264,0.5633703573335008,0.07035111710244038,0.0004521656036376953,4.2447233014403124e-05,30
interval,minkowski_p1,1,0.01,4.280846462181365,0.36795693617371866,0.5376672595361385,0.03227523610295145,0.6097054269636393,0.049466157370178586,0.006424225701226128,0.00044798510147355414,30
interval,minkowski_p1,1,0.05,4.476741822586436,0.5139465047236427,0.5468839227141293,0.04126009206704846,0.6007388511436507,0.05173796115419351,0.004727119869656033,0.0003053601213334105,30
interval,minkowski_p1,1,0.1,4.735933841251651,0.6031488561829632,0.5529875648032779,0.0462070952718706,0.5922766945724384,0.05653882479004535,0.0039226452509562165,0.0003809729875952835,30
interval,minkowski_p1,1,0.15,5.226071711549947,0.9469204113977674,0.5513644326338006,0.048776144615610584,0.5450699689258449,0.0765480818368503,0.003146557278103298,0.000623336035789155,30
interval,minkowski_p1,1,0.25,6.330846721775512,0.8600899185109966,0.5820856829029936,0.03204629737025183,0.4724648277601194,0.05085521487263816,0.0022428554958767357,0.00041357348709111465,30
kmeans,minkowski_p1,1,,2.8201503746983745,0.056346682531698826,0.5716843104880267,0.004595632993133011,0.6544096762448108,0.016450873151198246,0.037205062972174754,0.02642392022822848,30
farthest,minkowski_p2,2,,3.8778248511208613,0.3231931467243737,0.523163688306348,0.03982773189218781,0.5700757061290765,0.054555947514353206,0.0004592662387424045,1.6750532543170834e-05,30
interval,minkowski_p2,2,0.01,3.2175750584946994,0.25322152890810795,0.542413381928066,0.03131971150913024,0.6077575812433788,0.04363710903706219,0.006460044648912217,0.00041892665131402324,30
interval,minkowski_p2,2,0.05,3.3243722021781923,0.35211363196821177,0.55837845094499,0.035148764873235316,0.6028828397750827,0.04234866727493085,0.00479281743367513,0.0003321362126692633,30
interval,minkowski_p2,2,0.1,3.4973023583980387,0.4691740915618817,0.5598784500776175,0.04267590822263055,0.5940992511830818,0.055830956074262736,0.003965079519483778,0.00027480218555297765,30
interval,minkowski_p2,2,0.15,3.934287218927691,0.7320872199665841,0.5662354160072142,0.04800356237808262,0.5495481561561777,0.07230636127365012,0.003049954308403863,0.0001907828432623999,30
interval,minkowski_p2,2,0.25,4.553796101030128,0.6373101939158344,0.6279205877099597,0.04071062965896842,0.50272512349344,0.057682387186857156,0.0021490648057725698,0.00012928295415004488,30
kmeans,minkowski_p2,2,,2.822077109294655,0.05595571442784821,0.5713993851409046,0.004501930493407021,0.6546629256901827,0.01697990700527901,0.03681900077395969,0.02679603121540726,30
farthest,mahalanobis,,,4.1507398681252905,0.4801867338606085,0.5043582791126076,0.052424631243218035,0.5718989573641645,0.07739163586614024,0.00045914173126220697,1.599535537967028e-05,30
interval,mahalanobis,,0.01,3.5392040393147863,0.4954182396140061,0.5235364975279301,0.046246062154952854,0.6193191253670172,0.07236434069004695,0.006350897683037652,0.0004361707278661422,30
interval,mahalanobis,,0.05,3.7168808315533632,0.5789600196518357,0.5190598954379918,0.0584107810795469,0.5987395474301762,0.07937675903040828,0.004752447870042588,0.0003746761609009714,30
interval,mahalanobis,,0.1,3.8309249545402153,0.679624721141392,0.527444702067233,0.06019452475938239,0.5958024693752108,0.08605223325372963,0.004004741774664985,0.0004883770631265507,30
interval,mahalanobis,,0.15,4.249426498890241,0.8747693290473738,0.5253502325131851,0.05987117056643034,0.5369802224913282,0.0820035404404898,0.0031223360697428385,0.00034529895107346457,30
interval,mahalanobis,,0.25,4.715206671965251,1.094912946374497,0.5564947482295941,0.07508907267932755,0.5179466975620535,0.09624976536874931,0.0022085412343343103,0.00016221273642818247,30
kmeans,mahalanobis,,,2.8344830848295692,0.10976587402373315,0.5703205604400307,0.009059295703175296,0.6523551195878545,0.026434846721032235,0.037671198844909666,0.0260182220819351,30
