algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,3.0582784513411516,0.3106726179151107,,,1.0,0.0,0.0002132733662923177,1.2868970258752905e-05
interval,minkowski_p1,1,0.01,2.9594279352219934,0.13738144494690982,,,1.0,0.0,0.0025154908498128256,4.277129782269241e-05
interval,minkowski_p1,1,0.05,2.8253825469575458,0.264591265711748,,,1.0,0.0,0.001949326197306315,4.413826755613026e-05
interval,minkowski_p1,1,0.1,3.055103996606906,0.3550753179431625,,,1.0,0.0,0.0016723314921061197,3.153061646327808e-05
interval,minkowski_p1,1,0.15,3.131750885449871,0.2847471479809794,,,1.0,0.0,0.0014231363932291667,3.925439282781112e-05
interval,minkowski_p1,1,0.25,3.2235511132812453,0.2827931366592197,,,1.0,0.0,0.0011635303497314453,4.967720241333208e-05
kmeans,minkowski_p1,1,,0.9974714725464191,2.220446049250313e-16,,,1.0,0.0,0.001088412602742513,6.471313685127096e-05
farthest,minkowski_p2,2,,1.4809043839674547,0.10014326422829069,,,1.0,0.0,0.00021066665649414063,5.607518478729788e-06
interval,minkowski_p2,2,0.01,1.3994249798339211,0.12013692270865993,,,1.0,0.0,0.0026787281036376952,0.0001954764409816881
interval,minkowski_p2,2,0.05,1.351876795345359,0.11373960451427874,,,1.0,0.0,0.002000824610392253,5.340551100021125e-05
interval,minkowski_p2,2,0.1,1.340539900140031,0.08847506053732403,,,1.0,0.0,0.0017391204833984374,4.13035491335317e-05
interval,minkowski_p2,2,0.15,1.4046831151160462,0.11504637071265413,,,1.0,0.0,0.001468674341837565,3.476362725823714e-05
interval,minkowski_p2,2,0.25,1.5260801780261821,0.09222523954948385,,,1.0,0.0,0.0011936346689860025,3.312226671872625e-05
kmeans,minkowski_p2,2,,0.9974714725464191,2.220446049250313e-16,,,1.0,0.0,0.0010399977366129557,0.00012494757678560423
farthest,mahalanobis,,,1.4763430450750943,0.13060266811453625,,,1.0,0.0,0.00021742184956868488,2.0315066234160695e-05
interval,mahalanobis,,0.01,1.3238079079272498,0.13386394179525352,,,1.0,0.0,0.002589098612467448,7.53144563371807e-05
interval,mahalanobis,,0.05,1.3934785673043943,0.11659878832733711,,,1.0,0.0,0.0020075003306070966,4.9635401696535174e-05
interval,mahalanobis,,0.1,1.4462616488292908,0.14268272514413435,,,1.0,0.0,0.0017972469329833984,8.54036604962731e-05
interval,mahalanobis,,0.15,1.4076998191642396,0.11799695144200277,,,1.0,0.0,0.0014729022979736329,5.313466725858552e-05
interval,mahalanobis,,0.25,1.5420362930591691,0.10912501003063861,,,1.0,0.0,0.0014061292012532553,0.00015426728486447753
kmeans,mahalanobis,,,0.9974714725464191,2.220446049250313e-16,,,1.0,0.0,0.0009594758351643881,6.288026050352322e-05
