algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,2.213434863328362,0.2311607869415718,0.4191621819900818,0.05445183066040395,0.1992244471046965,0.15586132657706864,0.0004512468973795573,4.663625591830956e-05
interval,minkowski_p1,1,0.01,1.941057552189526,0.21226185420332874,0.44512260299170936,0.043835502142889844,0.25410013568681955,0.12337440996158772,0.005817731221516927,0.00045144426827018825
interval,minkowski_p1,1,0.05,1.9345216153280895,0.324613974401102,0.4682629489553848,0.01273521013068065,0.3382918205144135,0.0375597861963381,0.005074008305867513,0.0009454404324545359
interval,minkowski_p1,1,0.1,2.0300155564634483,0.28868730562778827,0.4470803686425236,0.034687446004522844,0.2734742607092302,0.11306158930873715,0.0038181145985921225,0.00037237047551197313
interval,minkowski_p1,1,0.15,2.2547454620989726,0.3637959874160045,0.4340636753757315,0.03557449285603704,0.1692574155451673,0.1439020621465826,0.003252108891805013,0.0005620290453536335
interval,minkowski_p1,1,0.25,2.857161798049362,0.7952454437526612,0.42918255385934845,0.025054834312380203,0.0915946611749176,0.14325104892859758,0.002335929870605469,0.00012368129495483505
kmeans,minkowski_p1,1,,1.1568224759554526,0.0027563083658751924,0.48338274334541814,0.0001392559434395017,0.23504873941277957,0.002577237122394295,0.08753511110941568,0.007024789411493688
farthest,minkowski_p2,2,,1.7224130116031302,0.1393614547397625,0.44034175678292076,0.03541940469283892,0.18043167930369358,0.07538985802006347,0.0004700024922688802,1.5312999219957978e-05
interval,minkowski_p2,2,0.01,1.4162123072047905,0.11697049384181253,0.4291661602349533,0.03722655824790477,0.2071229099523572,0.077627238392829,0.006123065948486328,0.0006356526142029683
interval,minkowski_p2,2,0.05,1.479716070372428,0.18868795310232328,0.459902780627781,0.019957032390517073,0.22759999023500582,0.0672922125666541,0.004542255401611328,0.00047763553222348367
interval,minkowski_p2,2,0.1,1.5467393729577494,0.12023470432072143,0.42961404142488485,0.038275130352889354,0.19925895799399626,0.06450981093554892,0.003942569096883138,0.00036816460464077954
interval,minkowski_p2,2,0.15,1.745070008242957,0.36429272687830705,0.44699132428908095,0.04183966178617217,0.14585324866199176,0.11464738729509301,0.003117497762044271,0.000241881658305925
interval,minkowski_p2,2,0.25,1.725451376167848,0.49108844833059956,0.44977401189739125,0.031793137581685164,0.16798073691962728,0.11277145186317908,0.0022429943084716795,9.275797102755824e-05
kmeans,minkowski_p2,2,,1.1557001054718876,0.0023719521273791334,0.483418392249921,0.00011361997578465693,0.23569497827902802,0.0021127818884364275,0.058256880442301436,0.038195401540479484
farthest,mahalanobis,,,1.7284461099345176,0.20452160904908084,0.40894359454251067,0.04115430221368485,0.24606640211762085,0.1766424152587656,0.0004896004994710286,1.4596946965313812e-05
interval,mahalanobis,,0.01,1.6373119589876073,0.187479956808414,0.4041485065180245,0.051663544866115484,0.24312582310558095,0.18430665595509646,0.005720011393229167,0.00041286608663153036
interval,mahalanobis,,0.05,1.6250329363179257,0.19301107088774525,0.38068458784523757,0.08189549707395231,0.2466411635693672,0.1359695493610458,0.00473326047261556,0.0005334008702078977
interval,mahalanobis,,0.1,1.8050276042288418,0.26635143614829443,0.412692782624192,0.0886731071328063,0.16982333585918266,0.13458218579175488,0.004029115041097005,0.0009163652858155646
interval,mahalanobis,,0.15,1.885465309495049,0.4362345457610261,0.41639935090604124,0.05831960125798216,0.1585337031705859,0.1709465346679386,0.0031180381774902344,0.0002173646377337789
interval,mahalanobis,,0.25,2.2308202129597414,0.5091760301746959,0.3977503770492305,0.09336645060510428,0.0898599741463826,0.16258009998834289,0.0023813247680664062,0.00021731454373362125
kmeans,mahalanobis,,,1.1587860705996278,0.002452843544888436,0.48328523792905737,0.00012951401129633069,0.23336626133179517,0.0025036226755607827,0.04695148468017578,0.042005998886067646
