algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,9.83568461548816,0.951364001746607,0.8419070956758329,0.0074932673280693335,0.9897584587243422,0.015561766115628225,0.0005054473876953125,1.5965383468441273e-05
interval,minkowski_p1,1,0.01,7.012612547150689,0.5576259400772484,0.8460230109424008,1.965110768301759e-05,0.9981982000288828,0.00147116351593278,0.008558845520019532,0.0002700429039717414
interval,minkowski_p1,1,0.05,7.441719256311652,1.0198871630932376,0.845884526249002,0.0005120667180567184,0.9975994126778761,0.0022419143853575543,0.006092087427775065,0.0001544377939020205
interval,minkowski_p1,1,0.1,7.792551364787684,0.7827603494129508,0.8458872004260412,0.000512803365201283,0.9977996126746669,0.002312162329985299,0.0049660046895345054,0.00013229762143876676
interval,minkowski_p1,1,0.15,8.224836297648155,1.6833832387077707,0.8371970268054185,0.03192528050693318,0.9685722375358956,0.10640395820045159,0.0038316408793131512,0.00012120035195356874
interval,minkowski_p1,1,0.25,8.67229882242175,1.0610065810475946,0.8360077408948281,0.03170756678997285,0.96539632699186,0.10571055204245138,0.002679109573364258,0.0002701211444675482
kmeans,minkowski_p1,1,,4.942571551300129,8.881784197001252e-16,0.8460069658801662,1.1102230246251565e-16,0.9969970000481381,1.1102230246251565e-16,0.021074453989664715,0.036904152057903636
farthest,minkowski_p2,2,,7.164011115177389,1.1282183408342472,0.8414999912632948,0.009468643054731106,0.9888246598408942,0.01861897799284145,0.0005039056142171224,1.4806508275508298e-05
interval,minkowski_p2,2,0.01,5.4193639187644305,0.5066948617793292,0.846028359296479,2.001170854381253e-05,0.9985986000224645,0.0014981595936487413,0.008112796147664388,0.0003748569814445529
interval,minkowski_p2,2,0.05,5.43704461868187,0.5130325663292987,0.845573085910051,0.0012465871168164861,0.9974046613212816,0.003913169426309327,0.005999612808227539,0.0005529333533940448
interval,minkowski_p2,2,0.1,5.848303176274033,0.761752784092655,0.8458952229571585,0.0005149236638074311,0.9984002126650393,0.0024134783534169907,0.004807074864705403,0.00016954326463670678
interval,minkowski_p2,2,0.15,5.38446311760873,0.4025375112130461,0.8456236019244391,0.0008270428214167403,0.9976030379566072,0.003491812972134725,0.0036325931549072267,0.00014203425949229736
interval,minkowski_p2,2,0.25,5.9548237489572005,1.1015809290501963,0.837150574028163,0.031929161127369814,0.9693754662951164,0.10664864406187706,0.0025943438212076824,0.0001351003982997652
kmeans,minkowski_p2,2,,4.942571551300129,8.881784197001252e-16,0.8460069658801662,1.1102230246251565e-16,0.9969970000481381,1.1102230246251565e-16,0.06434736251831055,0.03844465782034636
farthest,mahalanobis,,,6.621338722873332,1.0525304763751708,0.8335211757413793,0.02199276147878421,0.9759775015268738,0.039592823567786414,0.0005118052164713541,1.0844129221153167e-05
interval,mahalanobis,,0.01,5.561908818039482,0.8282628478466751,0.8459494217628541,0.000280290554270844,0.9979986036464786,0.001789294401203347,0.008540916442871093,0.00016856066969954303
interval,mahalanobis,,0.05,5.560772527507399,0.47970034094830527,0.8460337076505572,1.890928718444088e-05,0.998999000016046,0.0014156277532429112,0.0062727769215901695,0.0001816822049443794
interval,mahalanobis,,0.1,5.842445120647645,0.8551273377349992,0.8458266231689319,0.0005521829307740126,0.9978002162890534,0.0025581060684723754,0.0050256570180257166,7.787131196200312e-05
interval,mahalanobis,,0.15,5.947289672100904,0.7701666811799375,0.8458952229571585,0.0005149236638074311,0.9984002126650393,0.0024134783534169907,0.0038816293080647787,9.590436728704441e-05
interval,mahalanobis,,0.25,5.556747249124151,0.5981590139063254,0.845688138475533,0.0007157784193129474,0.9972014289380465,0.002988168238165995,0.0027385234832763674,0.00017593607266289614
kmeans,mahalanobis,,,4.942571551300129,8.881784197001252e-16,0.8460069658801662,1.1102230246251565e-16,0.9969970000481381,1.1102230246251565e-16,0.08732576370239258,0.02312300692042889
