algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,12.971412087191537,0.7022897244567627,0.6818481915478537,0.021635471297736207,0.8566669675724778,0.031143478705500396,0.0004917144775390625,1.750124459474454e-05
interval,minkowski_p1,1,0.01,10.817801959539516,0.6967552820088704,0.7613994006842887,0.01696601931369507,0.9752145436328967,0.028579058144882253,0.006601476669311523,0.0003659095078274705
interval,minkowski_p1,1,0.05,11.277271331880092,1.0045654483696431,0.7514928772157672,0.04002636305686692,0.9617268755632598,0.059453843424391674,0.004645983378092448,0.0003511072446129425
interval,minkowski_p1,1,0.1,12.269666388625616,1.8521530531845198,0.6331472974936863,0.12923651234115427,0.7835868989188914,0.2066857695876452,0.003811486562093099,0.0003535482612192042
interval,minkowski_p1,1,0.15,16.190091974259577,2.5365807520215795,0.39641083643307456,0.10957186449890498,0.3716950024851844,0.18564781042717715,0.0031756242116292317,0.00048811917970105094
interval,minkowski_p1,1,0.25,16.940519343865212,1.845322586925644,0.3709037075021932,0.04300801161077474,0.3356412924263686,0.09361036755671748,0.0018685817718505859,5.8800473185365497e-05
kmeans,minkowski_p1,1,,6.303952669843115,1.7763568394002505e-15,0.7748541877376731,2.220446049250313e-16,1.0,0.0,0.07283881505330404,0.036587353551724405
farthest,minkowski_p2,2,,9.86551645599877,0.5253066835540862,0.735593427743226,0.016487007136416546,0.9335144214637308,0.025680460551666118,0.0005125204722086588,5.8287933092546994e-05
interval,minkowski_p2,2,0.01,7.696965380092825,0.4923957512691669,0.7744897476527987,0.0005854606219635386,0.9986661139259946,0.0020363238526204955,0.00706933339436849,0.00027726094836361804
interval,minkowski_p2,2,0.05,7.965421040637519,0.6692486460068718,0.7717702203121967,0.007143705542446866,0.9936152611597978,0.013183854807731547,0.004968070983886718,0.00020574335945847642
interval,minkowski_p2,2,0.1,7.712701943014837,0.980475991753971,0.7726001805434237,0.004477999596821986,0.9951525428515523,0.008499617132888474,0.003927834828694661,0.00023449593652005924
interval,minkowski_p2,2,0.15,11.621586769373206,2.547305499078601,0.5104214116036841,0.18766975984833592,0.560969475193441,0.3200778783442354,0.002950684229532878,9.857699471373402e-05
interval,minkowski_p2,2,0.25,10.940699610179438,2.034208414376734,0.5926883309915455,0.1783895166032628,0.6985393703348616,0.3037127506167457,0.001967191696166992,0.0001660538877221979
kmeans,minkowski_p2,2,,6.303952669843115,1.7763568394002505e-15,0.7748541877376731,2.220446049250313e-16,1.0,0.0,0.06246275901794433,0.04277328115158038
farthest,mahalanobis,,,9.993100112548843,0.4253808543741338,0.7390716848417046,0.020875151126018975,0.9406438937641679,0.03090667531680298,0.0004994074503580729,3.5277643457568553e-05
interval,mahalanobis,,0.01,7.744070930198718,0.6831535528494761,0.7745567948716269,0.0006289157567169152,0.9991111162454468,0.001910641143617621,0.00707554817199707,0.00018351679619815103
interval,mahalanobis,,0.05,7.808050617793207,0.7878726175263701,0.774074276304441,0.001108579086020622,0.9977794793419459,0.0031367291455521073,0.005077377955118815,0.00026240585322308507
interval,mahalanobis,,0.1,7.90206660146861,0.6971685356329628,0.7706029512254228,0.013192209223734626,0.992818363507976,0.020006672963570418,0.003981606165568034,0.0001928098083844798
interval,mahalanobis,,0.15,10.392067860453919,1.9709606424734265,0.6142960318641967,0.1723344951482665,0.7381628191244242,0.2913421343114988,0.00299069086710612,0.00014504909995229475
interval,mahalanobis,,0.25,11.981507635352592,1.8217516013598054,0.5317014727991746,0.16907900883420887,0.6014816181490802,0.2897415624480928,0.001939249038696289,0.00016018731919361599
kmeans,mahalanobis,,,6.303952669843115,1.7763568394002505e-15,0.7748541877376731,2.220446049250313e-16,1.0,0.0,0.08419059117635092,0.02544385786111362
