algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,9.881733532840986,0.8098292223689658,0.23196467217008074,0.04725600000207312,0.21259540036694075,0.07785609869925371,0.00046254793802897134,4.3115191729569385e-05
interval,minkowski_p1,1,0.01,8.719707058547776,0.6687638299797085,0.3685482250207331,0.07206167304812275,0.38425357274786937,0.06312893685697288,0.005491828918457032,0.00019199471432693811
interval,minkowski_p1,1,0.05,9.239462968061865,0.6605141129310057,0.3810717616879653,0.07363290436550289,0.4075293509459826,0.03131164525378402,0.004157145818074544,0.0001987819802292343
interval,minkowski_p1,1,0.1,9.852597432394354,1.2974904477115614,0.3571352239775983,0.0872325321907592,0.35445515544365847,0.10123460252259876,0.0032859961191813152,9.013584018387365e-05
interval,minkowski_p1,1,0.15,10.736937723999665,1.396978724919061,0.4555378055846421,0.05429500247748488,0.3757031239036485,0.11843798449660299,0.002783807118733724,0.00012861032358529338
interval,minkowski_p1,1,0.25,11.147147607147563,1.1359345012741393,0.44190764414362965,0.050771557705905516,0.356335130079993,0.11442938391516001,0.001960929234822591,8.306832981586643e-05
kmeans,minkowski_p1,1,,6.300742662269637,0.010631358916465493,0.40122611986828993,0.0003522774506285758,0.6341387613080531,0.008561336796704162,0.05689531962076823,0.044312027557785995
farthest,minkowski_p2,2,,7.652989541208097,0.8613062473154183,0.28661635376193406,0.06344921783335686,0.2759454338124784,0.09237163709573293,0.0004908879597981771,2.0059957342944616e-05
interval,minkowski_p2,2,0.01,6.923934488726456,0.3521063713972533,0.3728360942136613,0.0602354849103186,0.4046612880606404,0.03303433339442513,0.005689430236816406,0.00030584370516233524
interval,minkowski_p2,2,0.05,7.013691571479709,0.570570630597865,0.3826012229045036,0.07549101482166098,0.3864582410142537,0.060918282655601834,0.0042797565460205075,0.00038659885222709666
interval,minkowski_p2,2,0.1,7.512782691980261,0.8629994483357663,0.4322090670015305,0.07943861013030108,0.40169197003558427,0.05778174285269103,0.003554709752400716,0.00019306018832375736
interval,minkowski_p2,2,0.15,8.248275128000056,0.7739882620701314,0.41601024080430254,0.07599093843915032,0.31165512631174025,0.1317938391728806,0.002993154525756836,0.0006133791975023511
interval,minkowski_p2,2,0.25,8.144220201799298,0.8103927873340244,0.4043909626333013,0.06994709929313951,0.3046836618363754,0.1214500820375706,0.0021124998728434246,0.0006023919310600634
kmeans,minkowski_p2,2,,6.305067226168097,0.008212323124762496,0.4009511158389444,0.00039013838669671734,0.6278581667843629,0.008179601837233891,0.036435333887736,0.043741772227347694
farthest,mahalanobis,,,8.15210446694597,1.3911923397375503,0.3054538633585559,0.05864793174447595,0.27366789001845454,0.11558770730245212,0.0004895528157552084,1.0733485686062756e-05
interval,mahalanobis,,0.01,7.809323660948319,1.2920741465870476,0.284596259625992,0.07350411458057622,0.26013859314901183,0.12537787145503115,0.0051706155141194666,0.00014789576427006414
interval,mahalanobis,,0.05,7.825964905113019,0.8485363584192521,0.3265902625328421,0.08583631252200677,0.30967144515108647,0.09877293870756856,0.004087750116984049,0.000175218234351977
interval,mahalanobis,,0.1,9.592617859930522,1.3626240442199808,0.264212170137103,0.06512496743114732,0.17095622547057707,0.17967155383112252,0.0034591197967529298,0.00013564987177038857
interval,mahalanobis,,0.15,9.342605263309911,1.231935418267808,0.31783782443009123,0.0884361564605269,0.19469813165751787,0.1581599228293083,0.0028585116068522137,8.36688153284528e-05
interval,mahalanobis,,0.25,9.862976499972131,1.789712204777507,0.28467705237361024,0.0775433820064958,0.19069771023767473,0.1586994055666224,0.001994021733601888,0.00017465386855777319
kmeans,mahalanobis,,,6.305225085954845,0.010751278927199499,0.4009952328606693,0.0004074225718151663,0.6281260941185957,0.00910869038487122,0.0568626085917155,0.04437702720012094
