algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,5.744293225774513,0.4888729289236051,0.45105683879632325,0.013516506125472876,0.6150017454003307,0.032719580558946144,0.0004987875620524088,3.7199051186573176e-05
interval,minkowski_p1,1,0.01,5.5787832630426655,0.38396404328445416,0.4540004515845301,0.09746401092782096,0.5521232230585962,0.1712171022617777,0.00617067019144694,0.00015554587597720824
interval,minkowski_p1,1,0.05,5.585606561060217,0.46411049254462194,0.4970993108330992,0.0826594969073223,0.7042749679434512,0.17551016200396516,0.004449923833211263,0.0001502876871119345
interval,minkowski_p1,1,0.1,6.120849971128696,0.7645675617933775,0.5282781931126778,0.029121757928300532,0.6334545348410405,0.13525361033263106,0.003743298848470052,0.0003293834010795893
interval,minkowski_p1,1,0.15,6.913910391385662,1.2622723645188725,0.5358351901545422,0.023013639411221216,0.4870263715317405,0.11393387464177625,0.0031586170196533205,0.0005616523663336892
interval,minkowski_p1,1,0.25,7.043378839179113,0.8318877290995369,0.5395444405150174,0.01198551422546581,0.47356978973995795,0.035658969236669294,0.00208134651184082,7.034569434895017e-05
kmeans,minkowski_p1,1,,3.720300348349303,1.3322676295501878e-15,0.5680134988689816,0.0,0.9187601194825493,3.3306690738754696e-16,0.05400888125101725,0.04651149310430159
farthest,minkowski_p2,2,,4.977582780246517,0.2835600996065693,0.4556630199656253,0.04481599380483478,0.6256547964044454,0.10691531471772053,0.0004864374796549479,2.285827342495213e-05
interval,minkowski_p2,2,0.01,4.359078749403188,0.30235337204381396,0.5084373621121147,0.05703611430345861,0.7449401249042823,0.13593363077101103,0.005887047449747721,0.00022847227478644288
interval,minkowski_p2,2,0.05,4.669996600141031,0.4334623843411623,0.5156162113932804,0.05442638836770871,0.6895748766152036,0.17593141457307782,0.0043808937072753905,0.00018329443386571836
interval,minkowski_p2,2,0.1,4.437084063303194,0.2622385662495014,0.49560947343515926,0.06415410711303611,0.7019858480286665,0.15878219197792098,0.0036637147267659506,0.00015442049379518915
interval,minkowski_p2,2,0.15,5.468783160940967,0.7403323368062565,0.5315944304561862,0.019973637858190865,0.45560529631697577,0.029481229190087346,0.002924617131551107,0.00016943640825203355
interval,minkowski_p2,2,0.25,5.534324867615826,0.7341658205116138,0.5340161894630651,0.023230728232982414,0.5090493417605977,0.08268434811166551,0.0020162900288899738,6.868598671090365e-05
kmeans,minkowski_p2,2,,3.720300348349303,1.3322676295501878e-15,0.5680134988689816,0.0,0.9187601194825493,3.3306690738754696e-16,0.04510660171508789,0.045231459724022705
farthest,mahalanobis,,,5.824565440876174,0.9013941986307602,0.37404878115224627,0.018324232248823773,0.42557422063483663,0.062185915270463875,0.000504302978515625,1.5056078211768514e-05
interval,mahalanobis,,0.01,5.720954402158087,1.0073612709731525,0.40031436103853874,0.0882869704728871,0.48251784864807784,0.1794019683596246,0.005650790532430013,0.0002779684285684934
interval,mahalanobis,,0.05,5.829518751156298,1.3028451661534635,0.3968710748798638,0.09255629494578281,0.47917869698588583,0.2050313478207532,0.00430914560953776,0.0001577631877817058
interval,mahalanobis,,0.1,6.505890836001413,1.5101739301730701,0.39317295257252954,0.12356028222151054,0.36444283015586915,0.2042936207892559,0.004615179697672526,0.0033589649284361985
interval,mahalanobis,,0.15,6.627730737793548,1.5480692377964835,0.43129504375391853,0.1346593039305567,0.37010245256651914,0.16855165836102928,0.0029538790384928387,0.00015065038120301753
interval,mahalanobis,,0.25,6.6047794951014565,1.7043444359605853,0.3946457492357786,0.12870276845879133,0.39913867014568855,0.19061370089236201,0.0020093758900960284,8.7135362597739e-05
kmeans,mahalanobis,,,3.720300348349303,1.3322676295501878e-15,0.5680134988689816,0.0,0.9187601194825493,3.3306690738754696e-16,0.05813717842102051,0.04530166629873795
