algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,10.082220317727009,0.8567179806393337,0.29987432951837006,0.04715677409038647,0.08956830893992443,0.07688366544152331,0.0004731496175130208,4.8668535603278914e-05
interval,minkowski_p1,1,0.01,8.850731240117762,0.762383788716883,0.38540909759677855,0.02479156801816205,0.1821695203373636,0.04451688964118657,0.005745776494344075,0.00044773070844467827
interval,minkowski_p1,1,0.05,9.629163228402746,1.3296030796073084,0.41216840986936903,0.038562832341163714,0.22479815217955443,0.0566662299002577,0.0043860753377278645,0.0003905349779468336
interval,minkowski_p1,1,0.1,10.215162029668418,1.7644975466832995,0.4030207700033647,0.06713905874379572,0.18086029577417928,0.07260080293418565,0.003629779815673828,0.00048046490651479416
interval,minkowski_p1,1,0.15,12.544375547558337,3.1728579329986433,0.43243026966013315,0.0404418614471731,0.1679053198496403,0.08707014652317589,0.0027726332346598307,0.0001266918870564138
interval,minkowski_p1,1,0.25,13.083632091311928,2.237977123464408,0.4422553762737135,0.034476358160058174,0.15906917573692772,0.08326133171084953,0.0019792874654134115,5.9876614082170504e-05
kmeans,minkowski_p1,1,,7.2194912808550695,0.034421784987066315,0.4403313012573101,0.00035626770091181774,0.24064009958136007,0.000593589332979353,0.08704581260681152,0.024709490512020166
farthest,minkowski_p2,2,,8.353964241564631,1.033568015853525,0.31544209752852753,0.052508972516949505,0.11549468891845972,0.0782645327542375,0.00048818588256835935,9.807015289474378e-06
interval,minkowski_p2,2,0.01,6.692760878229243,0.527133277348954,0.3998034359101965,0.013872902303211953,0.20046137133893255,0.04453600211240471,0.005385986963907878,0.00031542194568020887
interval,minkowski_p2,2,0.05,6.951534881902876,0.6134182902777454,0.37807953712416115,0.04354516644912549,0.19206541485840983,0.0460994911586437,0.0041455427805582685,0.0003416211587423163
interval,minkowski_p2,2,0.1,7.8726883834337835,0.9749108107950409,0.39000741782970005,0.07089523411019423,0.15930680621036422,0.0795670681448692,0.0033203601837158204,0.00020382468889111667
interval,minkowski_p2,2,0.15,10.151384772600347,1.415653853506479,0.4458882314776465,0.03851884706397579,0.16572974183948072,0.10420623826319406,0.0027080694834391277,0.00012123887917766373
interval,minkowski_p2,2,0.25,10.090132150805065,1.185808103991848,0.4424127879005389,0.030553206988572622,0.1576167526591374,0.06695455800647339,0.0019628047943115235,7.401749746747534e-05
kmeans,minkowski_p2,2,,7.2351458425024955,0.03142299311373352,0.4401883427093866,0.00035917385806119974,0.24091419336184358,0.00045675246074753647,0.057317431767781576,0.04465107304936839
farthest,mahalanobis,,,10.328348673185845,1.3966875512094048,0.2732205695352029,0.07607860280030818,0.13169985663740286,0.058854326619363746,0.0005080858866373698,1.274932933042723e-05
interval,mahalanobis,,0.01,8.705042898721674,1.0887646804380122,0.3247531088964254,0.055666243352263244,0.19664484943536964,0.05749959117862691,0.005434179306030273,0.00015049320659496525
interval,mahalanobis,,0.05,8.45845144880172,1.1444021145752987,0.3626560248316896,0.06837455435533937,0.2300969897593411,0.06089277208119223,0.00430609385172526,0.00021620562137456947
interval,mahalanobis,,0.1,8.87836534480055,1.2661505289225181,0.30725645207072344,0.050723050303742016,0.18096242819265945,0.056291505874447395,0.003536081314086914,0.00017374358259922252
interval,mahalanobis,,0.15,10.462162457322908,2.3093457160252906,0.32827821566740484,0.10432304053386558,0.16592257324423165,0.10815960508756228,0.0028916041056315104,9.305431497420474e-05
interval,mahalanobis,,0.25,11.335165745901428,1.9787621312691688,0.3144333327804761,0.08839775376059539,0.12498617956522191,0.10554954390696607,0.001968574523925781,3.2086475953412876e-05
kmeans,mahalanobis,,,7.2214026712887085,0.028076259212518863,0.4403880440912313,0.00034859019558107485,0.2408764637983625,0.0003322667746588624,0.05994545618693034,0.04470173151938912
