algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,10.281069777859967,0.9342080503657361,0.3154907919115123,0.06271428353634487,0.08636604084987218,0.06907491239294053,0.0005108833312988282,3.6585272051143436e-05
interval,minkowski_p1,1,0.01,8.468626630990517,1.0971403704178588,0.4266249091608539,0.031784135795412845,0.19511550433566566,0.04479541175801031,0.005875333150227865,0.0005345305158991993
interval,minkowski_p1,1,0.05,8.37852596838426,1.0162526081781906,0.4198234036278961,0.023524486342756657,0.1889773900026108,0.039347533857971344,0.004343668619791667,0.0004991918128040918
interval,minkowski_p1,1,0.1,9.438502374390568,1.87255462887432,0.43918336864862895,0.07811818419888586,0.19598029102657313,0.07751520285735199,0.0034905433654785155,0.0002914477288838252
interval,minkowski_p1,1,0.15,10.543873311123443,2.8355160129225063,0.45497888105228523,0.04495854265530441,0.18646206224910877,0.06860994775355908,0.0028443018595377604,0.00024640638571958237
interval,minkowski_p1,1,0.25,12.833822203128987,3.088813848806476,0.4907163806355554,0.05203734058391921,0.19428938113370858,0.10192763919509308,0.0020023028055826822,6.637511962544415e-05
kmeans,minkowski_p1,1,,8.186484335829041,0.11433037634445498,0.49948307590294794,0.0003083553296294416,0.2842413272581053,0.00401845176866792,0.08257018725077311,0.031031744162700946
farthest,minkowski_p2,2,,7.382672514912025,0.6797144158572788,0.3426740004966714,0.0847789264869464,0.12728388675284136,0.10825459440320236,0.0005021254221598307,1.1358159236769633e-05
interval,minkowski_p2,2,0.01,6.231961783014632,0.6201543340999839,0.43366960597858456,0.03259111684136955,0.20229790984978108,0.04673138027487154,0.005879036585489909,0.0005420148141016346
interval,minkowski_p2,2,0.05,6.619201350599358,1.2601622321477852,0.45294177327879176,0.04260361707104552,0.2184124958809918,0.050376311561321836,0.004149627685546875,0.00026267744203466333
interval,minkowski_p2,2,0.1,6.7234324883698635,1.1143356910934896,0.42561797300640725,0.08937312138326133,0.1840542622887664,0.08706361923694667,0.003498681386311849,0.00025444872341952253
interval,minkowski_p2,2,0.15,7.87160176160509,2.42882935299336,0.4487349940323235,0.04015509852161854,0.1734589405478792,0.07640731940924432,0.0027698357899983723,0.0001679184578334542
interval,minkowski_p2,2,0.25,10.116398603713273,2.0756512529967144,0.4651941214046989,0.051877790588461634,0.14139858261083915,0.1031051636634757,0.0020324389139811196,0.00015036764902754714
kmeans,minkowski_p2,2,,8.153879817273864,0.11312915083316324,0.49959424129059155,0.00010794214516384674,0.2842626887348045,0.003426097608206016,0.07546480496724446,0.03655249947271498
farthest,mahalanobis,,,8.402360430642773,1.9023855162293748,0.41672494862775156,0.04334755407362138,0.1770063189345253,0.038789419245127056,0.0004968643188476562,5.7839646247374485e-06
interval,mahalanobis,,0.01,9.567084962848003,2.3922351009434175,0.4252271218283923,0.05472405831349174,0.20905803350701696,0.04565317228535507,0.005532423655192058,0.000126710018191079
interval,mahalanobis,,0.05,8.507817497348018,2.1595474046670797,0.45102465240604206,0.034791527147760806,0.21120706038983406,0.04017976622413071,0.0043056646982828775,0.00032420510415150935
interval,mahalanobis,,0.1,9.323232710642007,2.4277543626058686,0.44091631249062585,0.062288108586477875,0.20951713341657233,0.05067473466735044,0.003673378626505534,0.0001269135775901448
interval,mahalanobis,,0.15,9.314801464882349,2.154401478098279,0.43245267990925385,0.054214204073181484,0.20848811143100435,0.051649417156917315,0.002989355723063151,0.00021828185493110095
interval,mahalanobis,,0.25,11.652473711237155,4.348266430425212,0.4001979208273081,0.10056017381510356,0.12971000102945263,0.10210724579743866,0.0021120548248291016,0.00044693686619754717
kmeans,mahalanobis,,,8.154185140725497,0.10130776848553137,0.4995545839569031,0.00013112151801749136,0.28500465693058447,0.0034772138765770864,0.053014675776163735,0.046912859472232296
