algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,10.622412551913149,1.0075032026726973,0.8007435701494447,0.00785438669375795,0.9711091840408427,0.012814922461164432,0.0004938284556070964,2.16866508786658e-05
interval,minkowski_p1,1,0.01,7.322983930662805,0.4800867993467426,0.8157598585489065,0.0,1.0,0.0,0.0071623802185058595,0.0001417408431948179
interval,minkowski_p1,1,0.05,7.688322002837889,0.8748722168290477,0.8155817443241946,0.00045489733328840345,0.999555307819392,0.0011337470532314829,0.0051375706990559895,0.00024398936032807257
interval,minkowski_p1,1,0.1,7.927687534880829,1.085634202748759,0.8153894117463147,0.0010947376256431971,0.9991121029021763,0.002568575024392562,0.004040972391764323,8.81629424409604e-05
interval,minkowski_p1,1,0.15,8.084513340333094,1.0590485970729064,0.8157598585489065,0.0,1.0,0.0,0.003031762440999349,0.00013216898648713102
interval,minkowski_p1,1,0.25,16.546072972494745,2.22648840749875,0.6147221560581315,0.034567431126637814,0.5056256697163005,0.044526268626578866,0.002192989985148112,0.00025843055538945885
kmeans,minkowski_p1,1,,4.742205597048908,0.0,0.8157598585489065,0.0,1.0,0.0,0.03398698170979818,0.04424351065885127
farthest,minkowski_p2,2,,7.917679082404736,0.5409878271815259,0.7867086226641057,0.017902205119485457,0.9480886414576741,0.02886220382719303,0.0004957040150960286,2.1423536392890992e-05
interval,minkowski_p2,2,0.01,5.920410009322783,0.6614539710890235,0.8155915503294439,0.0004291034476689138,0.999555307819392,0.0011337470532314829,0.006923198699951172,0.00044575402198148795
interval,minkowski_p2,2,0.05,5.843816862987482,0.5854011143920882,0.8152180926517214,0.0017191745067062336,0.9988927486392706,0.003355804113273739,0.004869826634724935,0.00010443636837275301
interval,minkowski_p2,2,0.1,6.219961377846221,0.7015414232098002,0.81494889532314,0.0020457425799649018,0.9982294494671973,0.004342097772213659,0.003960275650024414,0.00011149413326053448
interval,minkowski_p2,2,0.15,6.161508266739843,0.6250687798881807,0.8154909808558696,0.0005403253851571578,0.9993329617290879,0.0013340765418243807,0.002924315134684245,0.00010870659723570646
interval,minkowski_p2,2,0.25,11.645497718674477,1.7411834786479636,0.6170204152574783,0.0617749943609291,0.5256033560341089,0.1290350323084743,0.0020076910654703776,7.21501980359063e-05
kmeans,minkowski_p2,2,,4.742205597048908,0.0,0.8157598585489065,0.0,1.0,0.0,0.011968104044596355,0.02448653898956633
farthest,mahalanobis,,,10.952736718036526,2.1967063720824047,0.4408610370009215,0.1960446086202771,0.5534511192623885,0.2270055203166329,0.0004956245422363282,9.797504910645403e-06
interval,mahalanobis,,0.01,9.524767330290313,3.009587403869037,0.6921992219002557,0.17870048654935158,0.8177639202099586,0.22464905187293616,0.0070002237955729164,0.004709171950121855
interval,mahalanobis,,0.05,11.438991777685736,2.896091711251485,0.565307783690162,0.1814064163776419,0.598295758638459,0.20705225427564586,0.004987064997355143,0.002054441629454425
interval,mahalanobis,,0.1,12.531570126942396,3.7064724904002517,0.6064971395171981,0.1626759679063225,0.6133591379534523,0.2048602930395899,0.004548708597819011,0.002799896368814547
interval,mahalanobis,,0.15,12.824816017282863,2.91384938338581,0.5251382019860021,0.13631388512768405,0.5121437174485304,0.058976081113703616,0.0030596574147542317,0.00024247695192389487
interval,mahalanobis,,0.25,13.046240001821657,2.252471964729854,0.47245755849714455,0.1397422961072259,0.44864399147424394,0.1354544735942686,0.003254111607869466,0.003949076498556759
kmeans,mahalanobis,,,4.742205597048908,0.0,0.8157598585489065,0.0,1.0,0.0,0.08676530520121256,0.010497588011171068
