algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,7.440601429201788,0.6313575452190616,0.31277171617905813,0.06077696153738696,0.2171310042434671,0.09536660249035057,0.0004786809285481771,1.4389495644565244e-05
interval,minkowski_p1,1,0.01,6.043871833750122,0.771384865884617,0.44748105632963664,0.020831122325929805,0.38828934334780646,0.03740321711312836,0.0058165709177653,0.00043424254628728065
interval,minkowski_p1,1,0.05,6.29167514911143,1.2552920870678366,0.4674418417479325,0.06558152190452518,0.3881544020598966,0.04600388267551218,0.004436620076497396,0.00046231473545871657
interval,minkowski_p1,1,0.1,6.534891608575969,1.0042391678616058,0.4225632687546835,0.08096796823377123,0.33341758911726943,0.07921250254702224,0.0036129315694173178,0.00025412516500586364
interval,minkowski_p1,1,0.15,7.659458613232489,1.701287598775289,0.5086967826075559,0.05457104928733978,0.3808745242451119,0.07124001706830499,0.003235912322998047,0.0013281106062174792
interval,minkowski_p1,1,0.25,9.82761789524407,2.023528243973761,0.49179133426927973,0.0707553928592662,0.29330152648905317,0.14024448771603729,0.0023934046427408853,0.001545793189414015
kmeans,minkowski_p1,1,,5.102129187481527,0.005025793403479108,0.5095539962193216,0.0,0.5431003016787042,0.0,0.07760807673136393,0.037564696447504396
farthest,minkowski_p2,2,,5.3459903729073295,0.5812056731310233,0.36101182932016745,0.07702636109896474,0.2833575736713739,0.10951775762132378,0.0004913647969563802,1.4122074481289888e-05
interval,minkowski_p2,2,0.01,4.633697817412502,0.3558838005624893,0.4471597634142888,0.054332995327936805,0.3773351071839153,0.06562503668720394,0.005713796615600586,0.0004940818634544417
interval,minkowski_p2,2,0.05,4.55214982172957,0.47828474660239556,0.46164165230187676,0.04202581854106603,0.40111190257988777,0.0458285148001694,0.004495112101236979,0.0004914171556601497
interval,minkowski_p2,2,0.1,5.244591037996675,0.6927168327363279,0.4904108662396402,0.07809491239085498,0.40154597531639336,0.07311623838158295,0.0035998344421386717,0.0002990622046377539
interval,minkowski_p2,2,0.15,5.638025765553121,1.252055654560455,0.49604590293579043,0.06008924161257743,0.3767693373852784,0.07920866307504557,0.0027494907379150392,6.666587076989315e-05
interval,minkowski_p2,2,0.25,6.979853226251813,1.1400689734034368,0.5071411057722153,0.06270946756391567,0.32270559205772975,0.11885119669470451,0.001968971888224284,8.281614391992066e-05
kmeans,minkowski_p2,2,,5.1027044697059685,0.005742902625700185,0.5095539962193216,0.0,0.5431003016787042,0.0,0.05107192993164063,0.04564591039302131
farthest,mahalanobis,,,6.2164550850881914,0.638647049159527,0.4089659556593182,0.04174009103039984,0.3616727726018723,0.022393246406983116,0.0005091667175292969,1.2175636351521195e-05
interval,mahalanobis,,0.01,6.068600901095903,1.4712645329267702,0.41436039321594725,0.06374337984975809,0.3752313116672158,0.03983077902503939,0.005592457453409831,0.00028735838591003053
interval,mahalanobis,,0.05,6.677159173424178,1.121697197314723,0.4133496731401394,0.07146225397783888,0.36494481733017253,0.06736219989555038,0.004293282826741536,0.00028252801702178127
interval,mahalanobis,,0.1,7.67667617208927,2.412040132685907,0.38159285715156416,0.11335261859658426,0.3042071470477041,0.10145959107799173,0.0036298274993896485,0.00021388923573871892
interval,mahalanobis,,0.15,7.717881556658948,2.1280133650619324,0.47113946567470066,0.06813642041436173,0.3217973608423043,0.1121713484178551,0.0029694716135660808,0.0002491964077070646
interval,mahalanobis,,0.25,7.857978372876468,2.481098038921502,0.45121341055051434,0.06681462863849638,0.2919444471154959,0.14058519294465957,0.002050638198852539,0.00013413500737608804
kmeans,mahalanobis,,,5.099463565955832,0.006704845031858713,0.5095539962193216,0.0,0.5431003016787042,0.0,0.03439100583394369,0.04359409697910304
