algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,2.5409666663295316,0.14794200212389708,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.0004741350809733073,1.0590962507935223e-05
interval,minkowski_p1,1,0.01,1.9953629674201971,0.24825818840259012,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.006900485356648763,0.0004121172321371202
interval,minkowski_p1,1,0.05,1.9822462250317716,0.16498170761656192,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.004824479420979817,0.00025704932512544303
interval,minkowski_p1,1,0.1,2.1670133137073586,0.2319871955606595,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.00386050542195638,0.00010956689564823928
interval,minkowski_p1,1,0.15,2.1480550380525907,0.25697975201447343,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.0029927889506022134,0.00011810951496771572
interval,minkowski_p1,1,0.25,16.22357790728943,0.4090457003561622,0.5974176952055908,0.06762441911494699,0.4828702741392497,0.04639057838694799,0.00204774538675944,0.00010673226479333443
kmeans,minkowski_p1,1,,1.3291443447252944,2.220446049250313e-16,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.06605760256449382,0.036083551740920226
farthest,minkowski_p2,2,,1.880441081547756,0.15163254571426543,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.0004938125610351562,9.5974263084723e-06
interval,minkowski_p2,2,0.01,1.5130180807092815,0.1677187263902579,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.0069871107737223305,0.00014442437641243002
interval,minkowski_p2,2,0.05,1.5464599171703268,0.12941760325048793,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.0049839973449707035,0.00013802608145005804
interval,minkowski_p2,2,0.1,1.6923020211082833,0.22025682651129733,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.004024505615234375,0.0001083834881992711
interval,minkowski_p2,2,0.15,1.598643441458594,0.16815998962104356,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.003010352452596029,5.848738143983826e-05
interval,minkowski_p2,2,0.25,11.452729801084896,0.3624955523544589,0.6252286034355585,0.0743208420546273,0.5019657927759876,0.0508731830024694,0.002053356170654297,7.682579154778353e-05
kmeans,minkowski_p2,2,,1.3291443447252944,2.220446049250313e-16,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.0572969118754069,0.04003702548364544
farthest,mahalanobis,,,4.783870563873111,4.191447654311942,0.8489715791863144,0.23909580453428705,0.9355291117631519,0.14616584369317795,0.0004883925120035807,1.3242820897365342e-05
interval,mahalanobis,,0.01,9.19883791047648,5.873423204369785,0.7373550329845724,0.24595087182639655,0.7548469079628914,0.24844263540826747,0.005425389607747396,0.0002902524855040396
interval,mahalanobis,,0.05,10.38197822023733,3.340816656387889,0.6406326673037724,0.21147252974307032,0.6416926129995918,0.21472813492017837,0.004089784622192383,0.0001947945099929926
interval,mahalanobis,,0.1,11.209638428658469,2.5085823275781496,0.5861035053901641,0.17988591880656907,0.5491201627052436,0.1549232097501465,0.0034395853678385415,0.0001330194969924638
interval,mahalanobis,,0.15,10.987595281173984,2.4018435494360677,0.6062956842266216,0.18507272537673553,0.5146220020060358,0.18838882317482125,0.0027836322784423827,0.0001322375504341181
interval,mahalanobis,,0.25,9.063591072113429,4.156836144370848,0.6807213926135127,0.17656227120279377,0.6250851790847958,0.2288645818336754,0.0019414265950520833,5.93095127223148e-05
kmeans,mahalanobis,,,1.3291443447252944,2.220446049250313e-16,0.9494117925355119,3.3306690738754696e-16,1.0,0.0,0.08037637074788412,0.024643425340183135
