codigo_orgao,nome_orgao,codigo_orgao_superior
26,Presidência da República,
1949,Gabinete Pessoal do Presidente da República,26
46870,Ajudância-de-Ordens,26
72080,Assessoria Especial do Presidente da República,26
37807,Cerimonial da Presidência da República,26
318541,Conselho de Participação Social da Presidência da República,26
27,Gabinete de Segurança Institucional da Presidência da República,
221418,Departamento de Segurança Presidencial,27
74576,Departamento de Segurança da Informação e Cibernética,27
210237,Departamento de Coordenação de Assuntos Nucleares,27
221419,Divisão Administrativa,27
221423,Departamento de Assuntos da Câmara de Relações Exteriores e Defesa Nacional,27
287906,Coordenação-Geral de Segurança de Infraestruturas Críticas,27
46,Advocacia-Geral da União,
3618,Gabinete ,46
3619,Procuradoria-Geral da União,46
3620,Consultoria-Geral da União,46
3621,Corregedoria-Geral da Advocacia da União,46
3623,Conselho Superior da Advocacia-Geral da União,46
13216,Procuradoria Regional da União em Brasília-1ª Região,46
13574,Procuradoria Regional da União no Rio de Janeiro-2ª Região,46
13674,Procuradoria Regional da União em São Paulo-3ª Região,46
13875,Procuradoria Regional da União em Porto Alegre-4ª Região,46
15984,Procuradoria Regional da União em Pernambuco-5ª Região,46
29028,Secretária-Geral de Consultoria,46
50934,Escola da Advocacia-Geral da União,46
54452,Departamento de Cálculos e Perícias,46
56851,Superintendência de Administração em Pernambuco,46
56854,Superintendência de Administração no Rio de Janeiro,46
56856,Superintendência de Administração em São Paulo,46
69685,Procuradoria-Geral Federal,46
70352,Secretaria-Geral de Administração,46
77635,Procuradoria Regional Federal 3ª Região,46
86565,Procuradoria Regional Federal 5ª Região,46
96379,Procuradoria Regional Federal 1ª Região,46
301327,Superintendência Regional de Administração da 6ª Região,46
301135,Procuradoria Regional da União da 6ª Região,46
300705,Secretaria de Governança e Gestão Estratégica,46
2837,Casa Civil da Presidência da República,
3152,Secretaria Especial de Análise Governamental,2837
8836,Secretaria-Executiva/CC,2837
78055,Secretaria Especial de Articulação e Monitoramento,2837
244460,Secretaria de Administração,2837
84010,Diretoria de Gestão de Pessoas,2837
73013,"Diretoria de Planejamento, Orçamento, Finanças e Contabilidade",2837
34889,Diretoria de Recursos Logísticos,2837
34891,Diretoria de Tecnologia,2837
3154,Secretaria Especial para Assuntos Jurídicos,2837
71071,Secretaria-Executiva da Comissão de Ética Pública,2837
216627,Secretaria Especial para o Programa de Parcerias de Investimentos,2837
392009,Secretaria Extraordinária para a COP30,2837
42673,Secretaria de Relações Institucionais,
1972,Gabinete ,42673
89763,Secretaria-Executiva,42673
209853,Secretaria Especial de Assuntos Federativos,42673
118489,Assessoria de Comunicação Social,42673
209852,Secretaria Especial de Assuntos Parlamentares,42673
309260,Secretaria-Executiva do Conselho de Desenvolvimento Econômico Social Sustentável,42673
219924,Secretaria-Geral da Presidência da República,
219930,Secretaria-Executiva,219924
309353,Secretaria-Executiva do Conselho Nacional de Segurança Alimentar e Nutricional,219924
309194,Secretaria Nacional de Participação Social,219924
309225,Secretaria de Relações Políticos Sociais,219924
309210,Secretaria Nacional de Diálogos Sociais e Articulação de Políticas Públicas,219924
314727,Secretaria Nacional de Juventude,219924
309227,Secretaria-Executiva da Comissão Nacional para os Objetivos do Desenvolvimento Sustentável,219924
264359,Ministério das Comunicações,
266820,Gabinete do Ministro,264359
265884,Secretaria-Executiva,264359
73537,Secretaria de Telecomunicações,264359
26868,Secretaria de Comunicação Social Eletrônica,264359
308803,Ministério da Gestão e da Inovação em Serviços Públicos,
1986,Secretaria do Patrimônio da União,308803
308906,Gabinete do Ministro MGI,308803
215893,Secretaria de Coordenação e Governança das Empresas Estatais,308803
237352,Diretoria de Administração e Logística,308803
292516,Diretoria de Contratações e Unidades Descentralizadas,308803
245951,Gabinete da SSC MGI,308803
246291,Gabinete da DGP MGI,308803
52449,Gerência Regional de Administração no Rio Grande do Norte,308803
37003,Secretaria de Gestão e Inovação,308803
117788,Secretaria de Gestão de Pessoas,308803
308822,Secretaria de Comunicação Social da Presidência da República,
308800,Ministério da Fazenda,
308910,Gabinete do Ministro MF,308800
101068,Conselho Administrativo de Recursos Fiscais,308800
73665,Gabinete ,308800
13625,Coordenação-Geral de Haveres Financeiros,308800
308823,Ministério da Igualdade Racial,
308815,Ministério das Mulheres,
308816,Ministério dos Direitos Humanos e da Cidadania,
309140,Assessoria de Participação Social e Diversidade,308816
309141,Assessoria Especial de Assuntos Internacionais,308816
309139,Assessoria Especial de Comunicação Social,308816
309142,Assessoria Especial de Controle Interno,308816
309144,"Assessoria Especial de Defesa da Democracia, Memória e Verdade",308816
309607,Coordenação-Geral de Memória e Verdade da Escravidão e do Tráfico Transatlântico de Pessoas Escravizadas,308816
308891,Consultoria Jurídica,308816
308889,Gabinete do Ministro,308816
308890,Secretaria-Executiva,308816
309629,Coordenação-Geral de Gestão de Pessoas,308816
309931,Secretaria Nacional dos Direitos das Pessoas LGBTQIA,308816
41036,Conselho Nacional dos Direitos da Pessoa com Deficiência,308816
104359,Comissão Nacional de Erradicação do Trabalho Escravo,308816
3319,Conselho Nacional dos Direitos da Criança e do Adolescente,308816
68554,Conselho Nacional dos Direitos da Pessoa Idosa,308816
319,Conselho Nacional dos Direitos Humanos,308816
104328,Ouvidoria Nacional de Direitos Humanos,308816
223039,Secretaria Nacional dos Direitos da Pessoa Idosa,308816
74380,Secretaria Nacional dos Direitos da Criança e do Adolescente,308816
223030,Secretaria Nacional dos Direitos da Pessoa com Deficiência,308816
74378,Secretaria Nacional de Promoção e Defesa dos Direitos Humanos,308816
200138,Coordenação-Geral de Erradicação do Trabalho Escravo,308816
74379,"Coordenação-Geral do Programa de Proteção aos Defensores de Direitos Humanos, Comunicadores e Ambientalistas",308816
313005,Coordenação-Geral do Programa de Proteção a Vítimas e Testemunhas Ameaçadas,308816
313051,Diretoria de Promoção dos Direitos da População em Situação de Rua,308816
104291,Coordenação-Geral de Promoção do Registro Civil de Nascimento,308816
210202,Mecanismo Nacional de Prevenção e Combate à Tortura,308816
318150,"Conselho Nacional dos Direitos das Pessoas Lésbicas, Gays, Bissexuais, Travestis, Trans., Queers, Intersexos,",308816
308798,Ministério das Cidades,
308920,Secretaria-Executiva,308798
308799,Ministério da Integração e do Desenvolvimento Regional,
308915,Gabinete,308799
308916,Secretaria-Executiva,308799
277719,Secretaria Nacional de Fundos e Instrumentos Financeiros,308799
74019,Secretaria Nacional de Políticas de Desenvolvimento Regional e Territorial,308799
38348,Secretaria Nacional de Proteção e Defesa Civil,308799
43032,Secretaria Nacional de Segurança Hídrica,308799
