codigo_orgao,localizador
1949,HWKELG
1949,WRVGPC
1949,GMGWIA
1949,JZPYFR
1949,GEINVT
1949,IINRTU
1949,GDGMAC
1949,KQZKNG
1949,JYZEPC
1949,NNJSIO
1949,EMXECF
1949,HQGYKE
1949,HZNQGK
1949,DCIVWH
1949,EKZHDG
1949,WIHQXN
1949,NUIXTT
1949,DBEVZN
1949,WIPTIZ
1949,NCTZJP
1949,KTRMNV
1949,FXRGKQ
1949,INQEDF
1949,DMXDPW
1949,KRJRRE
1949,KRLZCS
1949,FZMPCX
1949,IKGPGT
1949,KBXWQD
1949,WSVUJO
1949,YMEMVG
1949,FSHMYY
1949,YMVMCO
1949,IHQLGC
1949,JCCTWR
1949,JEAFAD
1949,LRSRLI
1949,LTWYKV
1949,MHMIEP
1949,FPEHPE
1949,RW9Y9K
1949,RJFMVM
1949,WD1B8B
1949,LJGPSZ
1949,PDZNKB
1949,JQI24B
1949,EW4NWK
1949,SPTNJH
1949,LBKJNI
1949,KIGFKT
1949,KHRFOU
1949,KHOPFJ
1949,CWNTHM
1949,LDCFDR
1949,MLPHYA
1949,MKDWHY
1949,KNIJUG
1949,YELCMX
1949,YEOXWR
1949,YDCCOM
1949,NSCEYE
1949,NRUWFB
1949,IBWGKN
1949,GOJGMY
1949,ELJPGU
1949,HHBSTX
1949,WKVZAS
1949,WKBSHY
1949,MCJTMK
1949,GTRDZO
1949,MBNHDB
1949,NXZGHJ
1949,LPKSPH
1949,WLFNSD
46870,HTFVSU
46870,JKCRST
46870,DVZHMV
46870,FJTRTE
72080,CXRCFB
72080,JFSIVP
72080,EANKLO
72080,NKTXGG
72080,GMPHYR
37807,GEDGDU
37807,JQDSVP
37807,IBTRMS
37807,GNEXUZ
37807,EJGIDN
37807,EJZUIV
37807,FERKHO
37807,FFOHFD
318541,EOWPEF
318541,MFBAXI
318541,JCTMQS
318541,JDZOQW
318541,CVTSQE
318541,MUGILO
318541,FITHKB
318541,HRSDZD
318541,MFBZIX
318541,MZLWHI
318541,MVUOYE
318541,WTTJZL
318541,ILZTFL
318541,UFFE2V
318541,IKLVWP
318541,WRKSQF
318541,GFMUQZ
318541,MTXAAB
318541,CQANJD
318541,EHZQUX
318541,IISPKP
318541,KAEMPB
318541,IVGMIO
318541,KDMTFA
318541,IRZTSX
318541,SHQPXG
318541,ISYNTP
318541,GKEFYW
318541,MDYMDG
318541,IJURCZ
318541,NPQSZX
318541,EMQJFT
318541,HHIAKV
318541,HQLPQL
318541,CQY4TR
318541,IRWAAC
318541,IULXXV
318541,IUTRUK
318541,EJYBUM
318541,WI5RRC
221418,CPUCNM
221418,YZULJI
221418,CQVRXG
221418,LVRHZK
221418,FNADQM
221418,GIMNYW
221418,GIGAOY
221418,LUDIHA
221418,GHZVPT
221418,YWZYMF
221418,WVXIZL
221418,YYSFVT
221418,HGHVCX
221418,HMCFXL
221418,OESAZV
221418,ENHBHL
221418,IJMVOU
221418,ENKVGO
221418,AXWVUS
221418,EGZWKM
221418,EGIYDO
221418,SRIFLX
221418,EIBXQQ
221418,SPMGXC
221418,ECXHZO
221418,GHQUKG
221418,AYDWTF
221418,NLOUZE
221418,GENODW
221418,OVEHJB
221418,GEJITA
221418,OSKWLL
221418,NKAANF
221418,SOYUNK
221418,AXYJSO
221418,OSCBYU
221418,NLWMST
221418,SPGWZC
221418,AXPDNC
221418,AYDIUP
221418,NLMQGE
221418,SQJPGI
221418,LCPGGK
221418,MSMFKC
221418,AYVVBO
221418,HBJVFP
221418,CYJDFJ
221418,OPKXOH
221418,KYIXRL
221418,LHZKRK
221418,LFMHLI
221418,OEGWZJ
221418,DQAKZW
221418,DQRURN
221418,ARQAFH
221418,SCPPIX
221418,JERKFS
221418,KYFUMO
221418,AVDKDD
221418,JFDXJB
221418,KYIKNL
221418,SCRTRG
221418,KJSOOZ
221418,SAGOXC
221418,AOCMED
221418,KZAERQ
221418,CEQVRS
221418,LKWVHC
221418,ERPKXC
221418,EUEWRG
221418,LLBIYO
221418,JPHTZE
221418,LIUPET
221418,AABLHR
221418,KUHDAS
221418,DLUWHD
221418,KVAQDN
221418,CGJLBL
221418,DJBPCJ
221418,IWDLDT
221418,KSNHCZ
221418,ABORGN
221418,CEONQH
221418,JNGJXM
221418,JBJKPV
221418,LXPNNY
221418,HLFZIC
221418,LXROJH
221418,ENYEHI
221418,HJKKOS
221418,EQMQLR
221418,LRXWRV
221418,ENZIFH
221418,HLXIIO
221418,HKOSOZ
221418,LUAMGB
